cv_rmse,test_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_rmse_se,train_mt560,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
3.879009863810906,4.296131493567252,132.6,23.6,12.8,33.8,32.8,15.0,5.8,2.8,18.8,38.6,13.2,29.6,55.2,32.4,50.8,34.4,61.4,31.4,49.2,24.0,32.6,66.6,55.2,41.2,51.4,66.0,50.8,67.0,72.8,46.2,56.4,83.0,43.6,270.2,84.2,247.8,128.0,0.1,38.4,0.050623377233784884,0.12933557724490582,True,False,True,True,True,True,True,True
8.205020342107016,9.242766129593484,161.4,55.8,61.4,98.6,78.0,36.8,8.4,,,66.0,23.0,121.6,185.0,84.2,268.8,76.6,213.8,179.2,95.0,44.6,127.4,91.2,187.6,319.0,,,,,,,,,,,,,,0.1,41.6,0.054071866830630116,0.23583906784260766,True,True,False,False,False,False,False,False
7.370584390194788,10.603382195789502,125.8,,,,,,,1.0,55.0,24.4,15.2,41.2,96.6,40.2,130.2,36.2,87.6,65.8,67.4,22.4,78.8,76.2,87.8,98.0,68.8,120.4,66.4,63.2,113.8,90.4,87.2,116.0,79.8,,,,,0.22000000000000003,22.4,0.06791988641389578,1.0332446668548494,True,False,True,False,False,False,False,False
11.19096584884499,15.130475451284559,,158.8,300.0,600.0,468.6,146.4,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,25.6,0.02908082720138729,0.5117395388242297,True,False,False,True,False,False,False,False
6.788058280204086,11.296929986041047,80.6,54.8,36.4,46.0,43.0,27.4,8.8,5.0,43.8,28.8,12.6,44.4,65.0,34.2,125.8,31.8,88.4,63.2,57.0,20.4,63.4,55.2,93.4,102.6,43.2,120.0,60.4,48.4,108.2,78.8,58.0,129.8,90.0,,,,,0.21999999999999997,28.8,0.050804025547106495,1.661358372665236,True,False,True,True,False,False,False,False
5.544017066377245,7.872693803127694,98.0,,,,,,,5.0,40.0,21.0,10.0,40.0,65.0,21.0,102.0,44.0,48.0,40.0,49.0,13.0,49.0,66.0,59.0,40.0,52.0,49.0,66.0,53.0,56.0,30.0,85.0,78.0,50.0,167.0,,,,0.1,16.0,0.05359051395980998,0.0,True,False,True,False,True,False,False,False
6.801252047420678,6.875260058225592,,138.6,123.8,206.6,187.4,90.2,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,688.2,,,,0.072,16.0,0.019950701906482963,0.020205906125494368,True,False,False,True,True,False,False,False
5.233301792669607,6.651373125932833,76.0,58.8,34.0,59.2,47.2,19.6,4.8,4.4,54.2,23.8,10.6,59.0,53.4,27.8,137.6,44.8,71.4,53.4,51.6,25.0,49.0,65.6,61.4,68.0,50.6,79.4,64.4,57.8,64.6,44.6,86.0,99.4,75.6,245.6,,,,0.1,28.8,0.07100869630766436,0.22345924635757577,True,False,True,True,True,False,False,False
4.3876264681593495,4.914734456367556,136.8,,,,,,,6.6,39.0,45.6,28.8,41.2,99.0,57.0,81.6,45.0,87.2,58.8,69.2,40.0,50.2,87.0,98.4,73.2,65.8,132.2,73.0,66.4,110.2,100.0,83.6,169.4,80.2,,,333.8,,0.18,44.8,0.04814878631673242,0.3881373133155913,True,False,True,False,False,True,False,False
5.342950442625585,5.161807801297067,,66.0,88.0,319.0,241.0,52.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724.0,,0.03,16.0,0.01675233380752102,0.0,True,False,False,True,False,True,False,False
