cv_rmse,test_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,nllb_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_rmse_se,train_mt560,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
3.8629068297336993,6.2075240662643285,34.0,3.4,18.0,23.4,22.4,14.2,3.2,7.6,25.6,26.4,17.6,27.4,47.8,27.8,78.8,22.2,64.8,47.0,48.2,36.8,48.2,54.4,63.2,51.2,38.6,63.0,58.4,47.8,75.0,65.0,104.8,91.0,83.4,79.0,66.8,131.6,191.8,0.26,28.8,0.03480619144788731,0.42072329395507047,True,False,True,True,True,True,True,True
7.994897593410984,15.188793553026546,91.4,42.8,74.2,155.2,149.8,54.4,20.2,,,65.6,38.2,205.6,113.4,79.6,504.0,45.4,179.8,178.4,95.4,92.2,266.0,74.2,189.0,241.2,,,,,,,,,,,,,,0.13999999999999999,51.2,0.13809471919933616,0.9988618085743229,True,True,False,False,False,False,False,False
8.235172210504201,10.842867484499868,105.4,,,,,,,13.4,148.6,36.2,25.8,127.6,97.4,72.0,283.0,44.6,119.2,118.6,67.2,56.0,168.6,103.8,113.0,154.2,83.0,134.2,124.4,79.6,127.0,148.8,101.8,162.4,156.0,,,,,0.13999999999999999,57.6,0.060215818223553846,0.7779146106763996,True,False,True,False,False,False,False,False
14.025366077715756,13.641772738497533,,265.4,414.8,682.2,344.6,43.6,138.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,25.6,0.025357201563087316,0.033851456418997256,True,False,False,True,False,False,False,False
7.479524333299784,17.32843383539072,49.6,36.8,59.4,122.6,113.0,54.0,17.2,10.2,153.6,38.6,29.2,111.0,60.8,56.4,302.6,33.8,90.8,101.4,49.2,49.6,170.8,45.0,76.0,118.6,55.4,107.2,113.8,50.4,103.4,125.0,91.4,116.2,159.0,,,,,0.1,44.8,0.09171233723549585,0.43984980883732244,True,False,True,True,False,False,False,False
8.100895522535243,8.594685929361344,87.6,,,,,,,10.2,133.6,41.0,34.2,127.4,70.4,75.8,262.8,35.6,92.4,94.4,60.4,49.0,164.0,88.8,80.4,129.2,43.0,79.2,98.8,56.0,84.2,131.2,85.0,129.2,131.8,138.0,,,,0.13999999999999999,41.6,0.14346189578654445,0.5899602695146112,True,False,True,False,True,False,False,False
13.242060825461067,9.954570578794762,,95.0,165.0,247.0,268.0,55.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0,,,,0.03,16.0,0.05188469127958018,0.0,True,False,False,True,True,False,False,False
7.54031780597761,10.689068248064236,61.0,27.0,54.0,106.0,118.0,51.0,12.0,15.0,158.0,30.0,29.0,111.0,64.0,51.0,280.0,32.0,70.0,91.0,51.0,46.0,164.0,52.0,74.0,95.0,43.0,59.0,92.0,37.0,80.0,118.0,76.0,142.0,155.0,122.0,,,,0.1,32.0,0.04043654629286784,0.0,True,False,True,True,True,False,False,False
7.156405351632965,7.572993889913015,74.0,,,,,,,7.0,133.2,62.6,43.6,146.2,85.4,71.8,263.4,44.2,77.2,91.4,71.8,55.8,144.0,80.8,84.6,114.2,59.2,81.8,97.6,65.8,88.8,126.0,117.0,160.6,131.2,,,249.8,,0.1,51.2,0.054608871335299916,0.5558119506144586,True,False,True,False,False,True,False,False
10.489335737904334,12.886701813792405,,109.2,295.2,568.8,684.6,287.6,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509.0,,0.044,48.0,0.06510471815603475,0.4030378113121545,True,False,False,True,False,True,False,False
6.887374983104754,7.676405036799849,57.6,9.4,24.6,77.6,54.6,23.2,7.2,6.0,92.8,34.2,21.2,86.8,57.6,54.4,176.8,25.4,58.8,72.6,47.6,41.4,112.2,51.2,64.2,85.4,46.0,64.8,79.2,49.0,73.4,106.6,82.4,123.8,105.2,,,179.0,,0.18,25.6,0.058164845709783364,1.5471480452896202,True,False,True,True,False,True,False,False
7.04039610727096,15.450199466817162,57.6,,,,,,,12.0,99.0,38.4,18.2,100.8,83.6,64.6,191.8,47.0,90.8,82.4,65.8,34.4,140.4,65.8,94.4,112.4,57.2,99.2,96.2,80.0,98.4,97.8,121.0,120.2,130.0,,269.4,,,0.18,41.6,0.068781935012606,2.2619942308688032,True,False,True,False,False,False,True,False
8.448985414208932,11.709178083089588,,73.4,158.0,301.4,330.8,155.8,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646.0,,,0.3,57.6,0.06958373738884083,0.9000528579821278,True,False,False,True,False,False,True,False
6.63273710182405,16.657999724537085,37.6,7.6,21.8,75.4,51.8,30.0,5.2,5.0,71.4,21.8,15.2,71.0,57.6,41.2,133.4,34.0,82.4,59.2,43.2,28.2,103.2,46.2,97.0,87.4,47.8,93.4,74.6,56.8,87.4,89.6,112.4,107.0,119.4,,180.0,,,0.26,32.0,0.0485132710772451,2.649081393918549,True,False,True,True,False,False,True,False
6.811216610226457,8.432817381204789,50.8,,,,,,,7.0,80.0,27.4,16.4,82.4,57.2,52.2,151.4,29.8,57.8,61.0,47.2,38.0,84.0,49.6,74.8,79.0,42.6,53.8,64.0,50.2,73.2,78.6,79.2,83.8,97.6,,176.4,142.6,,0.18,28.8,0.04774212831420404,1.5029519696587947,True,False,True,False,False,True,True,False
8.251880005374433,10.771441381692899,,51.2,123.6,251.0,290.4,115.6,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034.4,677.4,,0.18,41.6,0.046180848529595794,2.191501775750002,True,False,False,True,False,True,True,False
6.461248307298277,8.398773755032172,33.4,4.6,21.8,48.0,41.8,24.4,3.2,5.6,56.8,24.6,10.4,65.0,50.0,34.8,126.0,18.4,53.0,44.6,41.6,30.2,73.2,33.0,53.2,75.8,28.0,48.6,62.4,39.8,66.0,64.0,57.0,67.2,84.4,,135.0,118.2,,0.22000000000000003,19.2,0.0806209049006861,0.5420344961765818,True,False,True,True,False,True,True,False
4.273366438006571,7.339236328236764,40.0,,,,,,,7.8,23.0,21.0,10.0,27.6,39.2,19.4,77.4,21.8,46.6,61.6,37.0,54.4,42.4,50.4,54.0,51.0,33.4,72.8,45.4,54.2,69.6,61.8,110.2,109.8,82.6,,,,171.6,0.21999999999999997,16.0,0.0427261069474724,0.4452500975001383,True,False,True,False,False,False,False,True
6.104629682765129,13.926160304497518,,24.0,101.0,141.0,234.0,102.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.0,0.03,16.0,0.020311779482648704,0.0,True,False,False,True,False,False,False,True
4.273111606112257,7.104129741608683,36.2,2.0,15.4,21.6,20.8,7.6,2.0,3.0,27.2,18.4,11.6,24.4,41.2,18.8,75.0,16.4,55.2,50.2,44.2,47.0,45.6,40.2,50.0,46.4,31.0,84.0,57.0,39.0,60.0,51.2,99.8,109.8,77.0,,,,165.6,0.21999999999999997,16.0,0.04281119706483672,0.25530641936831855,True,False,True,True,False,False,False,True
