cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,train_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_test_sentence_length_importance,train_test_word_overlap_importance,ttr_train_importance,ttr_test_importance,train_test_ttr_distance_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
7.8417762275716765,6.832079914134991,11.631756507730731,51.0,112.0,225.0,315.0,165.0,60.0,158.0,212.0,313.0,460.0,273.0,224.0,252.0,220.0,0.1,32.0,0.0833409755951749,8.881784197001252e-16,0.0,he,True,False,False,False,False,False,False
7.876121416551553,12.864155931746634,16.637135742763746,43.0,90.0,238.0,341.0,122.0,53.0,189.0,208.0,325.0,417.0,252.0,254.0,253.0,209.0,0.1,32.0,0.0695751027750473,1.7763568394002505e-15,0.0,fa,True,False,False,False,False,False,False
7.117298757974512,54.5400987832832,60.98732942624305,53.0,98.0,257.0,367.0,118.0,65.0,188.0,253.0,379.0,461.0,214.0,192.0,200.0,228.0,0.1,32.0,0.0375886276403019,0.0,7.105427357601002e-15,am,True,False,False,False,False,False,False
7.620786327843698,17.33025878180684,20.0539315412824,53.0,93.0,245.0,327.0,136.0,43.0,165.0,239.0,324.0,486.0,240.0,235.0,237.0,223.0,0.1,32.0,0.0616767672851492,0.0,0.0,hy,True,False,False,False,False,False,False
7.858931853931269,5.399440023875258,8.313315903019609,39.0,88.0,252.0,305.0,124.0,50.0,186.0,254.0,312.0,461.0,270.0,221.0,228.0,231.0,0.1,32.0,0.0817251697104368,0.0,0.0,vi,True,False,False,False,False,False,False
7.6062632420346175,24.49838166758965,35.64094518617421,44.0,100.0,244.0,328.0,115.0,55.0,179.0,270.0,333.0,476.0,240.0,227.0,199.0,231.0,0.1,32.0,0.0560669227003879,0.0,0.0,ru,True,False,False,False,False,False,False
7.836831922820477,16.729025142706092,21.33102285061653,46.0,85.0,245.0,298.0,119.0,59.0,186.0,268.0,304.0,412.0,276.0,272.0,246.0,239.0,0.1,32.0,0.0341139082453271,0.0,0.0,kn,True,False,False,False,False,False,False
8.251266781632603,8.995136198744259,8.405625785447342,44.0,106.0,212.0,317.0,122.0,43.0,191.0,249.0,294.0,404.0,268.0,256.0,295.0,232.0,0.1,32.0,0.0484169366143482,0.0,0.0,zh-TW,True,False,False,False,False,False,False
7.386083035119552,21.93981499534521,20.253597539349357,49.0,97.0,234.0,368.0,145.0,53.0,132.0,198.0,325.0,465.0,264.0,224.0,261.0,251.0,0.1,32.0,0.1077628461757172,0.0,0.0,ja,True,False,False,False,False,False,False
7.894850203081972,9.697551584107655,18.203711678653008,46.0,102.0,239.0,327.0,148.0,64.0,156.0,242.0,330.0,417.0,255.0,260.0,263.0,220.0,0.1,32.0,0.0711168897408172,0.0,0.0,id,True,False,False,False,False,False,False
7.948295149893601,6.879621414346474,6.591779299399102,50.0,102.0,244.0,333.0,142.0,71.0,176.0,251.0,315.0,400.0,259.0,238.0,278.0,210.0,0.1,32.0,0.0515124085174013,0.0,0.0,de,True,False,False,False,False,False,False
7.660464522129921,24.689278147660893,23.646403533853743,49.0,97.0,245.0,330.0,130.0,61.0,151.0,231.0,336.0,482.0,241.0,214.0,211.0,254.0,0.1,32.0,0.0400598712628289,0.0,0.0,ko,True,False,False,False,False,False,False
7.68148171009319,9.746503458809398,16.240063344000497,43.0,83.0,226.0,328.0,135.0,60.0,187.0,260.0,303.0,364.0,293.0,237.0,270.0,249.0,0.1,32.0,0.05808714581035,0.0,0.0,fi,True,False,False,False,False,False,False
7.640403445786198,20.18806537645595,41.14944901419595,43.0,119.0,237.0,318.0,127.0,50.0,168.0,251.0,341.0,445.0,238.0,219.0,255.0,248.0,0.1,32.0,0.0965196531610656,0.0,0.0,ka,True,False,False,False,False,False,False
7.880652069070718,6.2148360044253295,9.055959623577202,47.0,105.0,246.0,308.0,156.0,41.0,176.0,246.0,304.0,413.0,275.0,250.0,275.0,222.0,0.1,32.0,0.0958551614688209,0.0,0.0,lv,True,False,False,False,False,False,False
7.934523502716024,33.528214261728124,16.781635608291765,49.0,78.0,239.0,310.0,139.0,55.0,139.0,273.0,343.0,421.0,278.0,233.0,281.0,224.0,0.1,32.0,0.1030868345905449,0.0,0.0,bn,True,False,False,False,False,False,False
7.966455139952852,4.273204486805767,6.805706278237734,49.0,101.0,232.0,322.0,149.0,79.0,179.0,256.0,309.0,429.0,254.0,217.0,254.0,238.0,0.1,32.0,0.0735363435729478,0.0,8.881784197001252e-16,fr,True,False,False,False,False,False,False
7.943060246732081,8.66162018016017,9.843009181616887,56.0,102.0,222.0,340.0,138.0,51.0,166.0,264.0,314.0,414.0,274.0,243.0,237.0,239.0,0.1,32.0,0.071752387120655,0.0,0.0,el,True,False,False,False,False,False,False
7.858689504536505,6.143661046780286,12.967454430447116,48.0,100.0,205.0,318.0,133.0,56.0,172.0,266.0,349.0,424.0,249.0,227.0,247.0,253.0,0.1,32.0,0.0974546910755507,0.0,1.7763568394002505e-15,ro,True,False,False,False,False,False,False
