cv_rmse,test_source_rmse,test_target_rmse,train_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_test_sentence_length_importance,train_test_word_overlap_importance,ttr_train_importance,ttr_test_importance,train_test_ttr_distance_importance,train_test_jsd_importance,train_test_tf_idf_importance,train_test_st_similarity_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,direction_indicator_importance,smollm_135m_score_importance,smollm_360m_score_importance,bloomz_560m_score_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
1.5962994660992522,2.655476087790229,10.52219376277382,0.014311375,0.24438325,0.008727173,0.10687373,0.0183058,0.008649377,0.21253252,0.01388718,0.0071281428,0.002949336,0.06739166,0.0036587275,0.03951935,0.012501001,0.004954678,0.015013248,0.021803183,0.0055130976,0.050916564,0.08908567,0.05189495,0.0404315042642642,4350.0,0.0177540401266857,0.0578003418800928,1.002256624364042,km,False,True,True,True,True,True,False
1.8435935799338128,2.6050585007928397,9.416389040373506,0.014465444,0.31817478,0.006565726,0.17437896,0.033760097,0.007516633,0.22194815,0.013196319,,,,0.022904413,0.06312782,0.02151811,0.008924285,0.015348079,0.07817119,,,,,0.045026646610382,3600.0,0.0183233218290096,0.1030090617307886,0.4092398478487978,km,True,False,False,False,False,False,False
1.6061164403734285,2.404536259603301,10.9848601369111,0.019408533,0.3460527,0.010453326,0.09663019,0.033503953,0.013481252,0.17902842,0.011341502,0.00774975,0.003644799,0.059625875,0.0062545175,0.034219094,0.01675694,0.004314042,0.014575715,0.03250404,0.0053818924,0.10507344,,,0.0367014188519892,4400.0,0.0236154043174395,0.0214929375634964,0.6866983246372671,km,False,True,True,True,False,False,False
1.5030708020194363,2.5085029652184243,10.239636676901249,0.014686899,0.356999,0.008655961,0.09719415,0.036080524,0.010941147,0.18166572,0.012475776,0.0066895746,0.0030560116,0.05258874,0.00343257,0.03798794,0.010283816,0.004416456,0.016413625,0.033171367,0.0031201867,,0.11014054,,0.0421125525425177,4300.0,0.0185464136995178,0.0854887895109768,0.5340840555971371,km,False,True,True,False,True,False,False
1.727261450926144,3.322360585027876,13.206616746237245,0.016968062,0.30672628,0.008164719,0.11160298,0.032794606,0.02768347,0.15680572,0.00718631,0.00511856,0.003857743,0.05601241,0.015664523,0.05243206,0.016922975,0.0032601464,0.013947608,0.0479336,0.019737735,,,0.09718046,0.0564839837034639,4150.0,0.0223820269086224,0.1174191719381319,1.1007499356197894,km,False,True,True,False,False,True,False
1.5756022308894084,2.827942926657093,6.182286206380208,0.020173458,0.20012784,0.008343348,0.09841661,0.018130219,0.009508184,0.2483834,0.012223132,0.005223806,0.0029918624,0.085766286,0.0047472594,0.038969923,0.0065415814,0.0046102707,0.013913785,0.02288205,0.005288035,0.037111327,0.0921377,0.06450991,0.0422654778319343,4100.0,0.0180636151973885,0.1017296925239974,0.2134985266784623,en,False,True,True,True,True,True,False
1.8594702740064224,3.6541157608586703,7.650776160033222,0.01242025,0.30234826,0.0072534205,0.13186547,0.032258976,0.0070705614,0.27849922,0.0111476015,,,,0.025737306,0.059598178,0.018033037,0.00836136,0.028992165,0.076414205,,,,,0.0396683158200865,3400.0,0.0322605318062296,0.0790839240296447,0.9578586532431718,en,True,False,False,False,False,False,False
1.5740316420864804,3.0341069808457832,6.250431368982133,0.022749664,0.27691412,0.009401182,0.10450815,0.029696032,0.009521027,0.23783247,0.009282006,0.0059440196,0.0032449462,0.0713682,0.0073913634,0.03284157,0.012364114,0.0042685964,0.020802516,0.0320949,0.0058023054,0.10397284,,,0.0418604623309284,4400.0,0.0151230512173035,0.0864671865593191,0.7077892813535438,en,False,True,True,True,False,False,False
1.4926311188140882,2.85872533416951,5.4702232492355565,0.02108104,0.281211,0.008484645,0.09967602,0.03180622,0.008115997,0.23434103,0.010517901,0.006196355,0.0033115353,0.065701365,0.0038974646,0.036993705,0.007948218,0.0041244025,0.021695131,0.029832,0.0044524213,,0.120613575,,0.0434503375194523,4050.0,0.0112295922814059,0.07402849742271,0.2623664926290608,en,False,True,True,False,True,False,False
1.649547362950902,2.689236659045046,8.184033119529504,0.020783346,0.26951694,0.0085827755,0.13830158,0.014986502,0.012527053,0.18871772,0.009746049,0.004202096,0.0033931062,0.07024679,0.017238785,0.052164637,0.012595537,0.0029291227,0.01600361,0.046645753,0.006127853,,,0.105290726,0.045538050518273,4300.0,0.0146554293630255,0.0582353567084798,0.356628250842333,en,False,True,True,False,False,True,False
