cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dataset_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft,dev_size_importance,test_size_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance
8.323505452151176,8.848301724468335,6.953751414095686,53.2,40.0,68.2,64.0,20.4,7.4,132.2,52.2,12.2,108.8,149.0,60.4,216.6,53.6,161.2,150.6,72.8,30.4,114.4,81.4,146.4,252.0,0.1,28.8,0.0668585926923927,0.2871180221871245,0.3614054512180304,tgl,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
3.8933851544330977,2.794238358326178,3.276154138500774,17.8,13.8,42.2,35.4,15.8,2.2,117.4,31.0,17.8,33.8,63.6,30.2,51.8,41.6,59.6,43.6,47.4,23.2,42.6,59.2,67.2,44.0,0.18,38.4,0.0688213084049603,0.4673253799210467,0.3021095915200671,tgl,False,True,True,True,True,True,True,2.2,21.0,57.8,69.2,65.0,66.0,81.8,58.4,57.6,92.0,52.4,2.4,232.0,88.0,240.2,106.8
7.3835439620615,6.238857668754283,7.83550628824038,,,,,,,83.2,17.0,8.6,22.8,63.0,26.2,104.4,29.4,68.0,48.8,61.4,20.0,59.6,57.8,68.0,63.4,0.2599999999999999,16.0,0.0470182556392402,0.2558221011833108,0.3225106980647361,tgl,False,True,False,False,False,False,False,3.4,41.2,48.2,103.0,51.8,54.6,91.0,72.8,62.6,90.6,74.4,2.4,,,,
11.227721052580064,10.485195260004724,10.82309531086342,156.8,278.4,585.2,434.6,135.6,56.6,,,,,,,,,,,,,,,,,0.26,22.4,0.0191503962140416,0.0103071411836721,0.0892616203398823,tgl,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,
6.883518338734696,5.917825602407002,6.618427477363315,42.4,29.2,33.2,22.2,20.8,3.2,72.8,17.2,13.6,35.6,42.6,26.2,95.4,21.2,75.8,50.8,45.8,15.8,49.0,32.0,66.8,60.4,0.22,16.0,0.1025342471983621,0.0215498144729001,0.2158540426435856,tgl,False,True,True,False,False,False,False,2.0,39.0,37.2,96.0,47.4,39.8,86.0,62.2,44.0,95.8,71.8,3.4,,,,
5.581606106462116,7.101810774540188,6.305718267852458,,,,,,,88.0,28.8,9.2,49.6,55.4,18.6,78.2,31.4,49.8,46.4,45.8,17.2,51.4,73.8,69.6,49.2,0.1399999999999999,16.0,0.0878704761948923,0.2350844812089818,0.2232004842060398,tgl,False,True,False,True,False,False,False,1.2,43.2,48.2,55.8,56.0,56.6,54.0,40.8,76.8,87.2,48.8,2.0,166.2,,,
6.799143897385838,10.811613055471351,6.8916965629645945,126.4,127.4,223.2,199.2,63.2,48.2,,,,,,,,,,,,,,,,,0.086,16.0,0.0733723669896679,0.0020214790523958,0.3137021921906413,tgl,False,False,True,True,False,False,False,,,,,,,,,,,,,707.6,,,
5.296745003708431,7.263601042202501,5.265370884529723,42.4,25.2,40.8,32.0,19.6,3.4,64.8,21.6,11.0,43.8,43.0,19.8,86.2,27.2,59.6,40.0,33.2,19.6,40.2,50.4,62.0,39.2,0.1399999999999999,16.0,0.1092363550601255,0.3014701206670075,0.0582195650053705,tgl,False,True,True,True,False,False,False,0.8,35.0,43.6,57.8,47.4,42.8,48.8,39.4,49.8,73.0,57.2,3.6,175.8,,,
4.417802968373964,4.068421633432903,3.916703462889963,,,,,,,174.0,54.8,27.4,54.8,128.8,67.4,100.0,61.0,105.4,77.2,94.4,47.8,54.4,103.8,114.0,72.2,0.1,44.8,0.0457962671432751,0.1710542109026445,0.1555011795576737,tgl,False,True,False,False,True,False,False,4.8,35.4,75.8,146.2,86.6,78.2,122.0,89.8,77.8,187.6,81.8,2.6,,,435.8,
5.434761402169282,3.397528317459644,2.737116529777758,66.0,106.0,293.0,232.0,44.0,20.0,,,,,,,,,,,,,,,,,0.03,16.0,0.0331410007523753,0.0,0.0,tgl,False,False,True,False,True,False,False,,,,,,,,,,,,,,,739.0,
4.3684968546360015,2.88480008556114,3.627559964287369,31.6,15.8,53.6,34.4,20.2,5.6,117.4,36.0,19.8,37.0,64.0,37.2,69.4,37.2,65.4,45.8,60.8,20.4,36.4,65.8,82.8,52.0,0.14,28.8,0.0456961246083911,0.3394614439527523,0.2599165513848646,tgl,False,True,True,False,True,False,False,8.6,25.2,47.8,99.6,57.4,55.8,85.0,54.0,56.0,139.4,74.0,1.8,,,300.6,
6.214182284166208,3.471845038026152,5.286803299131803,,,,,,,120.2,37.2,17.6,23.2,80.0,42.8,93.2,38.8,66.2,54.6,64.8,31.2,36.0,53.6,76.2,78.4,0.18,25.6,0.085148017854137,0.1851351134832667,0.150761772495225,tgl,False,True,False,False,False,True,False,3.4,28.4,47.4,116.6,50.8,51.6,102.4,70.8,48.4,119.0,62.6,0.8,,149.2,,
10.415832730928727,8.964761561042065,8.454496085737604,108.0,164.0,281.0,236.0,80.0,5.0,,,,,,,,,,,,,,,,,0.03,16.0,0.0210776903006309,0.0,0.0,tgl,False,False,True,False,False,True,False,,,,,,,,,,,,,,626.0,,
6.113672080847132,3.603742316645485,5.380103329659885,18.2,21.2,38.4,16.2,23.6,3.0,118.4,36.2,19.4,23.4,77.2,36.6,102.6,43.6,78.4,51.2,66.4,31.2,42.8,55.2,84.4,94.0,0.1399999999999999,28.8,0.0951183536569379,0.2027109009715871,0.4008062101064721,tgl,False,True,True,False,False,True,False,4.8,29.4,57.0,133.2,53.4,45.4,98.8,81.6,55.6,136.6,63.0,1.4,,161.8,,
4.353959429722073,3.824679370321731,3.805856592284752,,,,,,,138.8,35.2,20.8,32.8,55.2,55.4,60.6,46.0,67.0,42.6,63.0,17.8,38.8,62.0,77.2,52.2,0.1,35.2,0.0527025641724635,0.2184376066631971,0.0667857934326267,tgl,False,True,False,False,True,True,False,7.0,33.6,58.4,95.8,51.8,70.2,92.2,65.4,48.8,124.8,66.6,1.8,,141.6,289.0,
5.386814035546371,2.869062436734505,2.796494626038006,68.0,66.6,260.0,182.4,80.4,16.0,,,,,,,,,,,,,,,,,0.044,25.6,0.0259766350055088,0.2436793335809592,0.1946170818323991,tgl,False,False,True,False,True,True,False,,,,,,,,,,,,,,504.6,758.2,
