cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.5491086527032003,4.897838962413141,6.363588712778361,4.0,16.0,5.0,34.0,54.0,15.0,7.0,21.0,11.0,0.0,11.0,0.0,0.0,12.0,19.0,4.0,20.0,7.0,13.0,20.0,11.0,5.0,35.0,13.0,8.0,63.0,42.0,79.0,40.0,0.3,16.0,0.0930588674883557,4.617830720547999e-05,0.0003587816291069,min,False,True,True,True,True,True,True
2.382278529571071,6.114778189935666,9.281091859585032,20.0,30.0,16.0,50.0,86.0,52.0,24.0,57.0,66.0,0.0,35.0,0.0,0.0,55.0,32.0,27.0,,,,,,,,,,,,,,0.3,16.0,0.094228442253601,0.0,0.0,min,True,False,False,False,False,False,False
5.861800835821005,7.121756302032435,15.318460454840018,78.0,,,,,,,18.0,44.0,0.0,25.0,0.0,0.0,21.0,3.0,43.0,53.0,73.0,69.0,1.0,30.0,0.0,17.0,40.0,0.0,,,,,0.03,16.0,0.0579898727713173,0.0,0.0,min,False,True,False,False,False,False,False
4.4070861148791565,7.171732101357691,9.14465849848736,,47.0,36.0,127.0,103.0,121.0,29.0,,,,,,,,,,,,,,,,,,,,,,,0.1,16.0,0.0541681323378262,0.0,0.0,min,False,False,True,False,False,False,False
2.3948860651158244,6.59428307777595,13.473293279263398,11.0,27.0,17.0,53.0,83.0,52.0,15.0,31.0,18.0,0.0,13.0,0.0,0.0,15.0,13.0,6.0,28.0,26.0,15.0,26.0,29.0,3.0,33.0,21.0,17.0,,,,,0.3,16.0,0.1403266844286469,0.0,1.7763568394002505e-15,min,False,True,True,False,False,False,False
4.253122722226754,4.383256692743748,7.874122594721101,2.0,,,,,,,20.0,5.0,0.0,11.0,0.0,0.0,39.0,12.0,6.0,39.0,27.0,24.0,15.0,14.0,1.0,47.0,16.0,23.0,261.0,,,,0.1,16.0,0.0859455094730697,0.0110446857398869,0.0125318198345631,min,False,True,False,True,False,False,False
3.5994771459913126,4.89019957937209,6.088145251567368,,45.0,17.0,58.0,63.0,109.0,26.0,,,,,,,,,,,,,,,,,,,231.0,,,,0.1,16.0,0.0839664664586944,0.0039468767897044,0.0219112472076425,min,False,False,True,True,False,False,False
2.5573000450351167,4.878478727320056,8.302828169579985,3.0,21.0,8.0,51.0,56.0,54.0,14.0,27.0,13.0,0.0,10.0,0.0,0.0,10.0,13.0,4.0,22.0,11.0,16.0,17.0,24.0,5.0,36.0,13.0,12.0,111.0,,,,0.3,16.0,0.1055846540051374,0.0045999055294227,0.0174671881857641,min,False,True,True,True,False,False,False
3.703276137695728,5.159670371719373,5.538779412725956,0.0,,,,,,,18.0,26.0,0.0,20.0,0.0,0.0,0.0,0.0,37.0,3.0,31.0,8.0,20.0,40.0,0.0,11.0,2.0,26.0,,,312.0,,0.03,16.0,0.0580331494473137,0.0,0.0,min,False,True,False,False,True,False,False
3.2935460425376064,4.654405470075064,5.027170375544598,,23.4,21.0,69.4,88.0,78.0,9.4,,,,,,,,,,,,,,,,,,,,,258.8,,0.14,16.0,0.072360985120061,0.245372766768861,0.271878322449761,min,False,False,True,False,True,False,False
2.680426974214087,4.8372071001051,6.487409656789618,3.0,14.0,19.0,52.0,75.0,37.0,6.0,14.0,23.0,0.0,11.0,0.0,0.0,7.0,13.0,9.0,26.0,9.0,15.0,27.0,22.0,2.0,19.0,23.0,12.0,,,119.0,,0.3,16.0,0.1154115300577322,0.0,8.881784197001252e-16,min,False,True,True,False,True,False,False
