cv_rmse,test_source_rmse,test_target_rmse,alpha,beta_w,beta_h,beta_z,beta_s,beta_t,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.6586408800673835,2.2925803633045483,3.5278381817624807,0.0046,0.1,0.1,0.028,0.01,0.01,0.0201787139614112,0.3095001813366238,0.5912959888604528,mak,False,True,True,True,True,True,True
3.2713581747757403,6.04221765504944,12.861665968747868,0.0028,0.1,0.1,0.01,0.01,0.01,0.0470278679474646,0.1035509863384448,0.7031882738465389,mak,True,False,False,False,False,False,False
3.403369940760597,9.9189199299856,9.685631937153016,0.001,0.1,0.1,0.028,0.01,0.01,0.0972128069465572,0.1978931922576655,1.7466683393857791,mak,False,True,False,False,False,False,False
3.216732698830124,6.640969454415351,7.262221166529589,0.001,0.1,0.1,0.01,0.01,0.01,0.0881732915109102,0.1171546868909022,0.1959690773160797,mak,False,False,True,False,False,False,False
3.2557825660087487,6.68801712316161,5.068663579898535,0.0028,0.1,0.1,0.046,0.01,0.01,0.0148191041082238,0.6178540133004051,0.3753455793929903,mak,False,True,True,False,False,False,False
3.158373423530498,7.4294410684417,6.94776024071287,0.001,0.1,0.1,0.046,0.01,0.01,0.0848895972798648,0.7292285080647468,0.7604999915605023,mak,False,True,False,True,False,False,False
3.029711416423303,5.41364087528571,6.389992837429351,0.0028,0.1,0.1,0.01,0.01,0.01,0.0692047357029885,0.4212446956018958,0.4786230564411112,mak,False,False,True,True,False,False,False
3.0474685290667667,5.8170100919501255,4.909544162310594,0.0046,0.1,0.1,0.028,0.01,0.01,0.0534461399845945,0.5925264097923484,0.2520672785957059,mak,False,True,True,True,False,False,False
3.1401492966965043,4.909489781118774,5.807295459859547,0.0064,0.1,0.1,0.028,0.01,0.01,0.045278741710938,1.1967924601628617,0.6211210127019844,mak,False,True,False,False,True,False,False
3.042665036871747,3.181420140605348,3.922459429908321,0.0082,0.1,0.1,0.01,0.01,0.01,0.0438902216574829,0.4202348575013918,0.4392775258641633,mak,False,False,True,False,True,False,False
3.0147080574839,3.85856877575678,4.451761749159892,0.0064,0.1,0.1,0.028,0.01,0.01,0.0464424788658505,0.6808150891057035,0.8225405652241808,mak,False,True,True,False,True,False,False
3.2967194791595715,9.31023402340402,10.46086246000915,0.001,0.1,0.1,0.028,0.01,0.01,0.0620665030254169,0.1778619762025495,2.2296584867235474,mak,False,True,False,False,False,True,False
3.03288143491931,6.221101074733052,6.98497031179277,0.001,0.1,0.1,0.01,0.01,0.01,0.0893812189787883,0.1083347961667707,0.2172794288608117,mak,False,False,True,False,False,True,False
2.999323680711444,5.713541351659147,6.229551047941974,0.001,0.1,0.1,0.01,0.01,0.01,0.077744810688824,0.1334433249926219,0.6407746232394411,mak,False,True,True,False,False,True,False
3.0564463760081995,5.096481839204562,5.9458061571826,0.0082,0.1,0.1,0.028,0.01,0.01,0.0659084764099652,0.7331684246089093,0.4455832596101332,mak,False,True,False,False,True,True,False
2.9457934720616907,3.439499793972101,4.330380665959831,0.01,0.1,0.1,0.01,0.01,0.01,0.0387010641755828,0.1930236752630247,0.3215272179406146,mak,False,False,True,False,True,True,False
2.895136987553719,3.672820567929403,4.690312779035562,0.0082,0.1,0.1,0.01,0.01,0.01,0.04112614106214,0.3062836540648154,0.6888486542890647,mak,False,True,True,False,True,True,False
2.981041754731248,2.6393273916865607,4.908719479317073,0.001,0.1,0.1,0.01,0.01,0.01,0.0911063298185912,0.1665676714199262,0.8094511559948164,mak,False,True,False,False,False,False,True
2.7271880618586644,2.670104662137626,1.7041167438046507,0.001,0.1,0.1,0.01,0.01,0.01,0.0347311084185306,0.1075334582277993,0.1460155760724379,mak,False,False,True,False,False,False,True
2.8702653532332447,2.587286087965123,2.635444069362994,0.0082,0.1,0.1,0.01,0.01,0.01,0.0410376820537243,0.1430201492165395,0.3427549984085607,mak,False,True,True,False,False,False,True
2.5432926460848213,2.1923244649421343,4.047181343734785,0.0028,0.1,0.1,0.028,0.01,0.01,0.0452641004255551,0.1225102146364029,0.2028054229759143,sun,False,True,True,True,True,True,True
3.055978636407576,3.1936693711904884,8.798375009591657,0.01,0.1,0.1,0.01,0.01,0.01,0.0269601846636036,0.0911550350597605,0.2481021646594778,sun,True,False,False,False,False,False,False
3.5809815843548214,2.992952281267564,9.782272249240265,0.001,0.1,0.1,0.01,0.01,0.01,0.067072852795978,0.1361351970180264,0.251889814916181,sun,False,True,False,False,False,False,False
3.125410064237135,3.850918643594082,4.297516275095694,0.01,0.1,0.1,0.01,0.01,0.01,0.0413655477060679,0.0667914370773415,0.2719183721057711,sun,False,False,True,False,False,False,False
3.009525453561989,3.215586023703601,8.402845781550571,0.0046,0.1,0.1,0.01,0.01,0.01,0.034626945919295,0.2050321289311158,0.4339605041917272,sun,False,True,True,False,False,False,False
3.2123566539004798,2.4998327576826043,7.118071593481581,0.01,0.1,0.1,0.01,0.01,0.01,0.0516059932119093,0.1273409764898889,0.2907660151208213,sun,False,True,False,True,False,False,False
2.8932736187580708,2.490069470338584,3.6906261964628753,0.01,0.1,0.1,0.01,0.01,0.01,0.0577878507555736,0.098042254307085,0.2969760517643389,sun,False,False,True,True,False,False,False
2.8251069980310666,2.513877004205592,7.038522504878958,0.0064,0.1,0.1,0.01,0.01,0.01,0.0520467581187882,0.1638192016570551,0.4129527599681449,sun,False,True,True,True,False,False,False
3.144471706152424,2.345915071688585,3.508432380720811,0.0028,0.1,0.1,0.01,0.01,0.01,0.0489844600298439,0.1006460307118679,0.8960142701019801,sun,False,True,False,False,True,False,False
2.865861400264232,2.955108882830573,2.6634874849876176,0.01,0.1,0.1,0.01,0.01,0.01,0.0172692678875708,0.1559308064516142,0.2402107883328101,sun,False,False,True,False,True,False,False
2.753783283972113,2.811260740991107,4.938089052060001,0.0064,0.1,0.1,0.01,0.01,0.01,0.0470263244570645,0.1871827891952113,0.5615379721834614,sun,False,True,True,False,True,False,False
3.0970662663610526,2.352526342493121,8.777308756013772,0.001,0.1,0.1,0.01,0.01,0.01,0.0680628458152482,0.1741759512809733,0.2450751991609386,sun,False,True,False,False,False,True,False
2.8752377234317503,3.74226023128598,4.236545529590571,0.01,0.1,0.1,0.01,0.01,0.01,0.0605128784737175,0.0567381105780865,0.2249707954883009,sun,False,False,True,False,False,True,False
2.8071392926743477,2.9837224184964164,7.516168789683519,0.0064,0.1,0.1,0.01,0.01,0.01,0.0645150452794946,0.2008117608386098,0.1840557837968758,sun,False,True,True,False,False,True,False
2.9270363699057604,2.102634512035512,4.4114804516023325,0.0082,0.1,0.1,0.01,0.01,0.01,0.0414311243892674,0.1384352769596144,0.6449270500541793,sun,False,True,False,False,True,True,False
2.7922074095277365,2.9471309074894423,2.8625196639658945,0.01,0.1,0.1,0.01,0.01,0.01,0.0343038190123071,0.1280366612020047,0.206630657356544,sun,False,False,True,False,True,True,False
