cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
3.274080914568562,1.6238067381505892,3.309853050964756,89.8,1.4,7.2,28.4,13.6,14.6,3.4,6.0,21.0,23.2,17.6,22.4,45.0,19.6,36.6,26.0,36.4,19.2,21.6,28.2,26.8,75.2,26.4,22.6,56.8,44.6,27.8,65.2,34.4,23.0,50.4,51.6,44.8,0.8,161.4,62.4,158.0,86.6,0.1,16.0,0.0344758992119837,0.0379895497839472,0.0608771177322385,tat,False,True,True,True,True,True,True
7.488472159962829,3.345605481292629,13.473944697424017,155.0,42.0,72.0,88.0,82.0,46.0,9.0,,,65.0,63.0,200.0,233.0,73.0,383.0,78.0,216.0,192.0,101.0,63.0,231.0,101.0,142.0,246.0,,,,,,,,,,,,,,,0.1,32.0,0.0951220503053593,4.440892098500626e-16,0.0,tat,True,False,False,False,False,False,False
3.23990875527772,1.0394217486809645,6.776784299956685,109.8,1.8,15.2,29.8,11.0,15.2,3.0,2.4,22.6,24.6,17.0,27.6,52.2,22.4,46.8,33.8,27.8,22.0,28.0,44.0,30.6,80.8,33.2,27.0,61.8,57.4,33.0,65.0,48.0,26.6,55.4,65.0,54.2,5.4,192.4,69.0,192.8,101.2,0.1,19.2,0.0434472942688432,0.1054861556118282,0.1239632641915143,ibo,False,True,True,True,True,True,True
7.56096975264377,4.495392973640262,2.832841857924326,169.0,50.0,65.0,92.0,74.0,55.0,9.0,,,89.0,50.0,195.0,217.0,86.0,342.0,75.0,229.0,206.0,78.0,66.0,227.0,119.0,178.0,247.0,,,,,,,,,,,,,,,0.1,32.0,0.0394973532583484,0.0,0.0,ibo,True,False,False,False,False,False,False
3.2053463017392,4.411694483913061,5.191595785112134,94.4,2.0,7.2,34.4,15.6,11.0,4.2,0.8,19.2,30.2,14.4,27.4,45.8,21.0,33.0,22.4,38.2,15.4,25.4,31.4,26.2,75.8,18.4,18.4,61.4,40.2,20.4,52.2,29.2,30.8,53.8,53.8,46.0,5.0,164.6,74.0,160.8,69.2,0.1,16.0,0.0223210785908194,0.0158407533794779,0.048735299383124,amh,False,True,True,True,True,True,True
7.374427666069548,6.813619386426365,15.491636607961665,171.0,48.0,74.0,106.0,75.0,61.0,8.0,,,72.0,47.0,201.0,225.0,74.0,333.0,70.0,198.0,219.0,85.0,72.0,239.0,99.0,202.0,260.0,,,,,,,,,,,,,,,0.1,32.0,0.0451147442962131,0.0,1.7763568394002505e-15,amh,True,False,False,False,False,False,False
3.2602258695539894,3.3279700852282303,2.4530861937263664,114.4,3.8,14.4,32.2,12.0,14.6,1.2,2.0,29.2,25.2,16.6,33.6,62.4,24.4,53.4,29.8,35.4,29.0,24.6,42.4,26.8,66.0,27.4,30.8,56.4,56.0,21.8,77.8,46.8,27.2,53.2,72.0,46.0,4.4,200.2,77.0,180.8,92.6,0.1,19.2,0.0099975969030716,0.0829784709168391,0.1492039135092855,guj,False,True,True,True,True,True,True
7.519314716498973,10.59420082544402,8.300928497993228,162.0,36.0,60.0,91.0,74.0,53.0,8.0,,,74.0,59.0,222.0,228.0,94.0,336.0,65.0,186.0,200.0,59.0,69.0,221.0,87.0,190.0,262.0,,,,,,,,,,,,,,,0.1,32.0,0.0707407547393057,0.0,0.0,guj,True,False,False,False,False,False,False
3.257714444625514,3.3578685053780117,3.485515892338954,122.2,4.2,13.6,33.0,19.4,13.0,2.0,2.0,33.0,35.8,19.0,30.8,62.4,25.8,55.0,37.0,50.8,28.8,27.2,45.2,35.6,65.6,44.6,36.8,71.4,67.4,32.6,80.6,53.6,30.8,65.0,87.6,57.4,6.8,228.4,76.8,221.0,100.0,0.1,22.4,0.0384684937686408,0.094102056416331,0.1047172269165885,hye,False,True,True,True,True,True,True
7.448764260918514,9.272978393714371,7.985411681410524,199.2,46.4,81.2,103.2,105.4,61.2,14.8,,,100.0,65.0,228.4,283.4,100.2,399.4,111.0,297.0,252.8,117.4,78.2,300.2,144.4,288.6,379.4,,,,,,,,,,,,,,,0.1399999999999999,57.6,0.0756683460990172,0.5895137312522157,0.3725556922230282,hye,True,False,False,False,False,False,False
