cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,nllb_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
3.9907890492186495,1.8388404367969409,3.724204779388286,139.8,8.2,23.2,25.2,22.8,21.6,0.0,20.4,34.0,60.8,55.6,43.8,93.4,46.6,89.0,41.4,43.4,31.6,82.0,58.6,33.6,57.2,52.2,42.4,61.4,50.2,35.6,80.0,65.6,42.2,96.4,82.8,67.2,5.6,90.8,86.4,174.6,229.0,0.1,25.6,0.0348607028407426,0.2574834673069096,0.2735854901787141,sna,False,True,True,True,True,True,True
7.473654228007545,7.911774011982679,6.845493409258286,111.0,42.0,83.0,149.0,118.0,62.0,14.0,,,58.0,57.0,285.0,127.0,91.0,413.0,62.0,153.0,173.0,85.0,76.0,333.0,84.0,173.0,206.0,,,,,,,,,,,,,,,0.1,32.0,0.1018175008161106,0.0,0.0,sna,True,False,False,False,False,False,False
3.952359498962061,3.0494725238580216,4.751732815346353,124.8,9.0,25.2,25.8,33.4,19.0,0.4,11.2,34.6,52.2,47.2,44.6,90.0,53.2,85.8,44.6,57.2,35.4,65.6,55.8,46.4,60.8,58.4,58.6,62.4,66.0,45.0,71.4,66.4,67.2,78.4,89.8,72.2,4.6,93.4,85.6,161.0,230.2,0.18,25.6,0.0449242814460772,1.1599374320003224,2.1449184309026386,wol,False,True,True,True,True,True,True
7.433574303208596,9.317559637339816,9.935864094373422,99.2,37.6,71.4,120.0,118.2,68.8,15.6,,,63.8,55.6,251.4,123.8,80.0,406.2,62.0,173.2,169.0,81.6,62.2,315.8,88.4,183.4,231.2,,,,,,,,,,,,,,,0.18,35.2,0.1246193282644211,1.6647383082702238,1.9807268185147275,wol,True,False,False,False,False,False,False
4.041025334093382,7.656427742929253,5.489016384110384,119.6,8.4,25.6,19.8,24.0,24.6,1.8,15.0,35.2,54.4,52.0,38.8,80.4,50.6,87.4,33.0,48.8,34.0,72.6,48.2,49.2,57.8,61.0,50.0,51.2,70.2,51.6,94.8,70.4,65.0,93.2,91.4,86.8,4.6,88.0,92.6,169.0,225.2,0.1399999999999999,25.6,0.0611339887652042,0.663392304246268,0.7141392743692133,mar,False,True,True,True,True,True,True
7.512228947561176,15.41007581040292,14.522794195370397,98.8,31.8,76.2,98.2,97.6,56.8,11.0,,,65.6,51.8,210.6,132.8,76.0,399.6,57.8,182.2,187.4,80.4,62.0,314.8,86.2,189.2,221.2,,,,,,,,,,,,,,,0.2199999999999999,38.4,0.0719344118003086,0.7185278920701647,1.1345074834656663,mar,True,False,False,False,False,False,False
3.9988574817714335,4.001159311773556,3.057040724422506,98.0,8.2,21.8,24.0,25.4,23.2,2.0,10.0,31.8,46.2,34.0,40.2,73.6,37.4,72.6,38.8,52.8,42.2,70.4,44.4,38.8,49.2,51.2,58.8,49.4,60.2,53.4,62.8,71.8,51.0,70.0,82.8,73.6,5.4,78.4,72.8,140.8,176.2,0.22,22.4,0.0445463001499824,1.0504369263953668,0.6355033531550192,jav,False,True,True,True,True,True,True
7.407925634409547,8.133495351486086,11.359341213713224,129.8,42.2,94.2,157.4,176.6,88.8,18.0,,,94.0,83.6,316.8,178.2,115.2,613.2,87.0,235.8,258.0,98.6,88.0,414.6,125.2,246.8,304.0,,,,,,,,,,,,,,,0.14,57.6,0.1095676338516563,0.344147030515824,0.082789452613791,jav,True,False,False,False,False,False,False
3.9320470697463152,9.406403900635883,7.612240519943503,94.0,8.6,31.2,24.0,28.2,31.4,1.6,19.2,39.0,60.2,61.6,51.6,89.4,58.2,108.4,45.6,51.6,38.0,94.0,73.0,36.6,63.4,49.6,54.4,70.8,62.4,49.0,83.6,83.8,58.4,92.2,114.0,77.6,10.2,88.4,88.0,180.4,265.0,0.1,28.8,0.0382013121190838,0.0065112484501121,0.4736671734831965,kor,False,True,True,True,True,True,True
7.538003405309833,14.05186183993971,13.60202668396247,96.0,34.0,85.0,125.0,118.0,69.0,12.0,,,71.0,65.0,251.0,110.0,95.0,502.0,49.0,170.0,155.0,89.0,49.0,268.0,89.0,173.0,172.0,,,,,,,,,,,,,,,0.1,32.0,0.052414953353565,0.0,0.0,kor,True,False,False,False,False,False,False
3.951381153997188,2.7986217424815054,8.227868134077411,140.6,8.6,35.0,33.8,33.4,18.8,1.6,12.4,34.8,62.0,50.8,51.6,92.8,45.2,95.6,47.6,52.2,46.8,81.8,52.4,44.0,75.2,53.2,60.4,78.8,76.8,54.2,79.0,74.6,63.6,108.0,105.0,74.4,4.4,103.2,93.6,190.4,250.6,0.14,28.8,0.0600132256360356,0.0811387036835968,0.326702837133737,mya,False,True,True,True,True,True,True
7.23412065400637,12.389471286104968,19.84023134125015,112.2,34.0,59.6,100.2,99.0,53.6,16.4,,,77.6,43.6,204.2,156.8,92.0,398.2,89.8,277.8,218.6,92.6,74.4,299.4,100.6,311.0,295.4,,,,,,,,,,,,,,,0.3,44.8,0.0740177158827795,0.6578306992807786,0.3019579755171121,mya,True,False,False,False,False,False,False
3.919456419254091,10.755674809015996,7.474795776889313,102.8,6.2,18.0,19.4,20.8,18.8,3.2,10.6,32.2,40.6,46.0,33.4,70.6,39.8,66.2,38.6,52.6,40.6,59.2,52.8,50.2,57.2,67.0,54.0,55.6,58.4,59.0,65.8,63.0,54.6,62.0,103.2,69.0,5.2,84.4,67.4,137.8,192.0,0.22,22.4,0.0223204180379837,0.3461023583218897,0.6637305143216157,xho,False,True,True,True,True,True,True
