cv_rmse,test_source_rmse,test_target_rmse,alpha,beta_w,beta_h,beta_z,beta_s,beta_t,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
1.459543211508533,1.4335048072016394,3.191993173435449,0.01,0.1,0.1,0.01,0.01,0.01,0.0390230406990548,0.1035340221399915,0.2180443929819095,jav,False,True,True,True,True,True,True
2.1252352521950924,4.250634026551125,3.897482591111038,0.0046,0.1,0.1,0.01,0.01,0.01,0.0310772358959296,0.2967620463412772,0.2305903093573658,jav,True,False,False,False,False,False,False
1.857663536532108,1.192763223582595,7.979418800662055,0.001,0.1,0.1,0.01,0.01,0.01,0.0551616228173594,0.0981989048196834,0.3947080781687164,jav,False,True,False,False,False,False,False
2.164102019624944,4.916517882891512,4.2969809894696205,0.0046,0.1,0.1,0.01,0.01,0.01,0.0459464758052731,0.3656876041897634,0.457269201340025,jav,False,False,True,False,False,False,False
2.0945064583171247,3.877891228963653,5.287772316827549,0.0046,0.1,0.1,0.01,0.01,0.01,0.0384272173089555,0.318590977534203,0.6612033890226718,jav,False,True,True,False,False,False,False
1.8876526641668097,1.145460417210581,3.24277270471352,0.01,0.1,0.1,0.01,0.01,0.01,0.1015801952747659,0.1262451900049606,0.2956050642102131,jav,False,True,False,True,False,False,False
1.968913161471437,3.415612208168534,3.412373970794473,0.01,0.1,0.1,0.01,0.01,0.01,0.064906952852192,0.0702941539724423,0.1236538510015094,jav,False,False,True,True,False,False,False
1.8720053263930596,2.9511827210331045,3.773829389871187,0.01,0.1,0.1,0.01,0.01,0.01,0.0515956254332457,0.1469157750405038,0.3176449701012181,jav,False,True,True,True,False,False,False
1.9382874931799328,1.117780134412938,5.3117396396701375,0.01,0.1,0.1,0.01,0.01,0.01,0.0355235766799929,0.1021533074734121,0.3613854099930634,jav,False,True,False,False,True,False,False
1.783542754804897,2.2924171488394576,4.251317247914656,0.01,0.1,0.1,0.01,0.01,0.01,0.0463508226622511,0.1232781629849341,0.0925211298259389,jav,False,False,True,False,True,False,False
1.721845451134143,2.2011280985213943,4.730937532037798,0.01,0.1,0.1,0.01,0.01,0.01,0.042653043959147,0.121239947273983,0.3389030867548502,jav,False,True,True,False,True,False,False
1.988709078748496,1.2150681105139698,7.772741092765689,0.001,0.1,0.1,0.01,0.01,0.01,0.0869149653357866,0.1113777055121165,0.4851453795489714,jav,False,True,False,False,False,True,False
2.1742605173775864,3.2098411877111794,2.666013361933199,0.01,0.1,0.1,0.082,0.01,0.01,0.037833237297582,0.7068210476713828,0.6371300042558947,jav,False,False,True,False,False,True,False
2.12791984234875,3.622814351441874,4.481675472763429,0.01,0.1,0.1,0.01,0.01,0.01,0.0353884991768594,0.1117394163222099,0.3463498210656948,jav,False,True,True,False,False,True,False
1.9795138997760384,1.1262518886232835,5.275197003470078,0.01,0.1,0.1,0.01,0.01,0.01,0.0392993769749865,0.100860675524337,0.388955713330626,jav,False,True,False,False,True,True,False
1.822841378079708,2.338736923934394,4.24792193065734,0.01,0.1,0.1,0.01,0.01,0.01,0.0487835029068307,0.0957407631294253,0.0812896196384192,jav,False,False,True,False,True,True,False
1.7632996203582731,2.2170021869952583,4.739227731561765,0.01,0.1,0.1,0.01,0.01,0.01,0.043867475500428,0.0814750976123169,0.3193475089150616,jav,False,True,True,False,True,True,False
1.813306659702235,1.615050504266084,2.660609283936222,0.0028,0.1,0.1,0.01,0.01,0.01,0.0551454672407163,0.3123451062649439,0.4143652868450054,jav,False,True,False,False,False,False,True
1.7955739193432323,2.7091127977856764,1.423739483739192,0.01,0.1,0.1,0.01,0.01,0.01,0.042137697475206,0.0309903217953904,0.0304824344768178,jav,False,False,True,False,False,False,True
1.7261415396671442,2.0362438741440343,2.2068692712582854,0.01,0.1,0.1,0.01,0.01,0.01,0.0297222427192583,0.0908468469442156,0.3346204333572975,jav,False,True,True,False,False,False,True
1.7056388988279485,2.3372213696921067,5.875872392673868,0.0064,0.1,0.1,0.064,0.01,0.01,0.0175628946770885,0.7714653149036811,0.9311211714891257,min,False,True,True,True,True,True,True
1.7582653949178677,5.743863436211964,10.684270884486684,0.01,0.1,0.1,0.01,0.01,0.01,0.0335585757034638,0.2522406626687489,0.2917759477597153,min,True,False,False,False,False,False,False
1.7055419932151463,5.857889852585087,10.141955669125084,0.001,0.1,0.1,0.01,0.01,0.01,0.0402997866762752,0.1523219212662065,0.212868150484384,min,False,True,False,False,False,False,False
1.861314185329915,6.2086573094659325,9.862852815434202,0.01,0.1,0.1,0.028,0.01,0.01,0.0590152767160998,0.254156407053012,0.2077939027280868,min,False,False,True,False,False,False,False
1.7371733322845586,5.700688549978937,9.412827410729363,0.01,0.1,0.1,0.01,0.01,0.01,0.0309192414180336,0.2168436845945173,0.0754018425152708,min,False,True,True,False,False,False,False
1.7181677118052114,4.123457757644781,7.558918217100015,0.0046,0.1,0.1,0.01,0.01,0.01,0.0535087154153072,0.3866367201092814,0.5107949184471908,min,False,True,False,True,False,False,False
1.8221485713999268,5.0424451897019695,8.545738798138961,0.01,0.1,0.1,0.046,0.01,0.01,0.0381313413656921,0.4567778827592106,0.467591283412956,min,False,False,True,True,False,False,False
1.6963727777753,4.9621731789477455,8.49739701277762,0.01,0.1,0.1,0.01,0.01,0.01,0.0157000512299261,0.1674910020278408,0.21629984601422,min,False,True,True,True,False,False,False
1.91556634788904,5.414375288352644,8.835770983725032,0.0082,0.1,0.1,0.1,0.01,0.01,0.0409892245461863,0.5481731492548042,0.9823502123771514,min,False,True,False,False,True,False,False
1.855451727604858,5.453915273024053,8.77273010955242,0.01,0.1,0.1,0.1,0.01,0.01,0.0496351200187921,0.2562457125968749,0.2297868255266766,min,False,False,True,False,True,False,False
