cv_rmse,test_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,nllb_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.4625922855958846,2.119472800959075,0.6,15.8,15.4,20.6,54.6,17.4,8.4,10.2,5.8,0.8,6.2,0.0,0.0,8.4,13.2,4.6,16.8,13.8,7.2,16.2,12.2,9.2,19.0,8.2,6.6,58.4,41.0,70.6,52.4,0.26,16.0,0.14102036084855407,0.40784837797818535,False,True,True,True,True,True,True
2.2067940380195137,1.7604133278453655,8.2,32.8,31.0,58.0,76.0,57.4,22.0,36.0,28.6,8.8,26.0,0.0,0.0,40.2,38.6,32.2,,,,,,,,,,,,,,0.3,16.0,0.25586847642580446,0.2879055987715508,True,False,False,False,False,False,False
6.010988671214843,5.892239499644691,27.4,,,,,,,35.4,46.8,7.8,24.8,0.0,0.0,33.2,17.2,40.6,24.6,31.0,6.8,31.6,23.8,68.4,25.8,15.4,14.6,,,,,0.03,16.0,0.21527169183206885,0.2998004079639595,False,True,False,False,False,False,False
4.565435633674009,4.255539510474059,,51.4,53.2,112.8,131.2,97.6,25.0,,,,,,,,,,,,,,,,,,,,,,,0.22000000000000003,16.0,0.15322769684904727,0.3991341143013031,False,False,True,False,False,False,False
2.180184115615514,1.7959677368148566,4.2,29.6,33.8,50.8,84.0,61.8,16.0,15.6,10.0,4.4,7.8,0.0,0.0,12.2,16.4,7.4,22.6,16.6,14.6,20.6,21.6,11.0,17.0,11.2,8.4,,,,,0.3,16.0,0.15412196063496403,0.26665822486893986,False,True,True,False,False,False,False
4.225111074545412,4.154492827544234,2.6,,,,,,,14.2,29.2,0.4,5.8,0.0,0.0,8.8,23.2,1.2,13.6,9.8,16.4,26.0,7.6,32.4,38.8,27.6,7.8,244.8,,,,0.044,16.0,0.060971615447513026,0.23396338587688045,False,True,False,True,False,False,False
3.5729642600668514,3.20870465734057,,38.2,31.2,67.8,68.6,85.8,26.2,,,,,,,,,,,,,,,,,,,181.8,,,,0.18,16.0,0.14485947011098915,0.3154474280993758,False,False,True,True,False,False,False
2.471822882102498,2.2040946997811597,2.0,22.8,26.2,44.2,62.6,53.8,20.0,14.0,6.2,1.6,10.0,0.0,0.0,12.2,12.8,7.0,16.2,11.6,9.6,12.0,20.8,11.4,19.6,9.4,10.0,82.2,,,,0.3,16.0,0.1408075573565461,0.18925164727426108,False,True,True,True,False,False,False
3.5091557814884276,3.2503676432325816,5.2,,,,,,,3.8,42.8,0.4,3.6,0.0,0.0,5.2,21.8,22.2,11.4,11.8,12.0,13.2,27.2,16.4,8.0,17.6,9.6,,,263.0,,0.03,16.0,0.16889664557289927,0.4243514864026031,False,True,False,False,True,False,False
2.892212895336242,2.435466965125312,,22.0,43.4,64.4,78.0,79.0,7.8,,,,,,,,,,,,,,,,,,,,,202.0,,0.3,16.0,0.09543645095735254,0.3039811812966456,False,False,True,False,True,False,False
2.6771591701666693,2.375907053971277,3.4,23.6,28.0,44.0,65.2,45.0,13.4,18.6,8.4,1.4,10.0,0.0,0.0,12.4,16.0,6.2,19.4,12.2,10.6,16.6,15.0,11.4,19.8,9.6,8.6,,,81.8,,0.3,16.0,0.13489321087662942,0.444100964870764,False,True,True,False,True,False,False
5.005490759376484,4.992999079267168,10.6,,,,,,,19.6,26.8,2.6,10.4,0.0,0.0,15.0,8.8,25.4,18.2,26.8,10.2,21.0,11.4,42.8,18.4,16.6,24.2,,183.2,,,0.13799999999999998,16.0,0.1309378811237157,0.3988530152134061,False,True,False,False,False,True,False
3.931730159662397,3.6164741278842443,,25.2,33.8,78.6,104.8,55.0,10.8,,,,,,,,,,,,,,,,,,,,185.0,,,0.3,16.0,0.17718689836901264,0.3458986579569799,False,False,True,False,False,True,False
2.2555197703332364,1.87386013770762,4.4,28.6,22.8,45.6,68.4,52.8,13.0,13.6,8.6,2.8,8.8,0.0,0.0,10.2,15.2,7.2,17.6,15.8,11.4,22.6,19.4,10.0,16.2,11.4,7.8,,64.6,,,0.3,16.0,0.23141445957926457,0.2612950466362072,False,True,True,False,False,True,False
3.2574104819924488,3.204310247498325,0.4,,,,,,,3.8,34.2,0.0,2.6,0.0,0.0,6.6,25.0,7.6,7.0,17.4,8.0,11.4,16.0,11.0,11.6,13.0,14.4,,83.2,229.4,,0.044,16.0,0.20589155532166165,0.4173066274246639,False,True,False,False,True,True,False
2.8088882709767033,2.367565302792511,,25.0,39.0,41.0,67.4,55.8,7.8,,,,,,,,,,,,,,,,,,,,96.2,164.2,,0.3,16.0,0.17868494966847512,0.4189665042438866,False,False,True,False,True,True,False
2.823900824368946,2.351913314813531,2.2,27.2,19.0,29.2,54.4,39.8,9.8,13.2,10.4,0.8,12.6,0.0,0.0,11.8,16.6,6.4,16.8,15.0,8.0,16.4,12.8,10.4,18.6,13.4,7.4,,43.4,84.6,,0.26,16.0,0.11993196810386009,0.45648011563464475,False,True,True,False,True,True,False
4.149960087791203,3.6154289538338693,3.2,,,,,,,19.8,22.4,2.4,9.0,0.0,0.0,7.0,9.0,5.2,14.4,15.4,10.4,14.0,15.2,18.8,18.8,8.4,26.6,,,,271.6,0.26,16.0,0.12280887684769769,0.2868496946696064,False,True,False,False,False,False,True
3.581499369483397,3.509789412918232,,33.8,35.2,62.0,71.4,65.2,19.2,,,,,,,,,,,,,,,,,,,,,,194.4,0.26,16.0,0.18788068503633046,0.4013729103844798,False,False,True,False,False,False,True
2.3585420394942256,2.1421361299616684,3.8,28.0,26.8,42.0,60.0,51.0,15.2,13.8,7.8,0.6,11.6,0.0,0.0,12.2,14.0,8.0,14.6,17.6,8.6,21.2,17.2,11.8,17.4,10.8,11.8,,,,63.6,0.26,16.0,0.2614320571611906,0.4184679508164438,False,True,True,False,False,False,True
