cv_rmse,test_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dataset_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,learning_rate,num_leaves,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft,dev_size_importance,test_size_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,nllb_noft_spBLEU_mean_importance
8.906955398628678,8.58914624282016,37.8,60.2,142.6,115.4,49.2,9.6,78.0,57.6,32.8,187.8,103.0,80.8,390.6,49.6,138.8,160.4,68.0,65.6,241.6,75.6,164.6,206.0,0.1,32.0,0.2590043310215776,0.3329438649952093,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
4.181125828506765,4.099048935055814,3.8,17.0,33.8,25.8,15.2,2.4,46.2,35.6,19.4,32.6,44.2,32.8,87.4,24.4,47.2,59.6,54.6,47.4,44.4,39.8,61.2,64.4,0.13999999999999999,25.6,0.1843126029962763,0.28198980060180623,False,True,True,True,True,True,True,13.6,20.2,30.0,61.2,53.0,44.2,71.2,61.6,101.4,94.8,70.4,5.2,88.2,65.6,164.6,245.2
9.345067923423027,9.12404434437355,,,,,,,79.8,41.2,21.6,107.2,64.8,49.8,228.6,49.6,96.6,97.4,57.4,45.8,128.4,72.8,96.0,121.4,0.1,32.0,0.18862801235333818,0.30163843048300093,False,True,False,False,False,False,False,7.6,102.2,69.8,85.8,113.8,64.6,104.2,110.6,99.8,122.2,138.0,10.6,,,,
14.129114541420089,14.119761328678084,174.8,219.4,525.0,366.4,107.0,107.4,,,,,,,,,,,,,,,,,0.03,16.0,0.15424018053349112,0.43141868059632205,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,
8.482933349911118,8.409774286322616,20.4,34.2,66.6,61.6,32.8,8.0,32.8,25.0,13.0,83.6,42.6,30.6,171.0,26.2,78.4,74.8,35.2,28.2,99.4,36.0,75.0,84.4,0.18,22.4,0.21790066389324547,0.3471715055821967,False,True,True,False,False,False,False,4.2,73.2,39.4,75.8,75.4,36.4,75.4,81.6,59.6,96.2,96.4,10.2,,,,
8.919121107977485,8.707207950972187,,,,,,,76.4,42.4,25.2,107.2,61.2,53.0,215.0,40.8,80.0,79.4,58.6,50.4,128.2,71.2,80.8,100.8,0.1,28.8,0.20049642271523244,0.5382067258967791,False,True,False,True,False,False,False,8.0,93.4,42.6,60.4,91.2,49.2,76.8,95.6,75.0,112.8,113.6,10.6,128.2,,,
13.477465031470768,13.423202558379208,99.2,150.6,232.6,265.2,77.8,26.8,,,,,,,,,,,,,,,,,0.03,16.0,0.20651395592331084,0.2766821970821028,False,False,True,True,False,False,False,,,,,,,,,,,,,646.6,,,
8.336174252726774,8.232006865408305,21.6,32.6,79.6,72.0,33.4,8.4,49.8,31.0,19.2,97.8,50.0,45.0,185.2,27.4,71.0,72.4,44.0,33.0,114.4,47.2,82.4,97.6,0.18,28.8,0.20639652062967487,0.4825390236176935,False,True,True,True,False,False,False,6.6,84.2,35.2,73.0,90.4,43.6,90.0,90.6,79.0,118.6,105.6,14.4,106.4,,,
7.818078461105391,7.785140080789631,,,,,,,53.2,45.0,19.0,87.8,60.4,55.8,165.2,32.6,55.8,58.0,50.8,30.8,107.2,51.0,70.0,87.0,0.1,32.0,0.21266541284888296,0.6328315587444672,False,True,False,False,True,False,False,8.2,78.0,41.8,54.8,73.8,48.2,72.4,92.0,92.4,115.6,104.8,5.8,,,183.0,
10.664036578598976,10.763370450803809,57.0,129.6,219.8,278.4,118.8,28.6,,,,,,,,,,,,,,,,,0.072,16.0,0.11295930327796891,0.3085294444120201,False,False,True,False,True,False,False,,,,,,,,,,,,,,,664.2,
7.562103034556583,7.5301682552888165,4.8,18.0,47.4,47.4,17.4,8.4,33.6,30.0,11.0,70.2,44.0,34.4,125.2,27.6,48.4,44.2,40.8,22.2,86.8,35.8,58.2,58.0,0.18,19.2,0.19450206807600506,0.3760808296370416,False,True,True,False,True,False,False,4.8,55.4,24.0,56.4,55.0,39.0,55.8,73.8,68.4,94.2,89.0,4.0,,,141.4,
7.83802096260623,7.673441726037192,,,,,,,47.8,29.6,19.8,79.4,56.2,45.8,167.8,28.0,61.0,70.2,57.0,32.6,115.8,58.8,71.6,85.4,0.1,38.4,0.22238644235103716,0.4054167855020959,False,True,False,False,False,True,False,8.8,82.0,53.2,70.8,79.0,59.8,66.4,86.0,99.4,82.4,105.2,7.8,,213.6,,
9.045885135724472,8.935397485387119,57.0,127.4,284.4,264.8,118.2,37.4,,,,,,,,,,,,,,,,,0.3,32.0,0.12163041782141129,0.32496457893403047,False,False,True,False,False,True,False,,,,,,,,,,,,,,1385.8,,
7.495546499055595,7.322633877269489,3.8,18.8,61.6,49.2,26.2,5.0,34.8,24.8,12.8,68.4,33.8,35.0,122.0,19.8,48.2,53.6,39.6,28.6,90.4,28.4,57.4,64.4,0.14,19.2,0.21658810835612718,0.38042301048080923,False,True,True,False,False,True,False,4.2,61.4,35.4,59.6,62.6,35.2,52.8,68.8,61.4,72.4,77.4,2.8,,159.8,,
7.492191862297524,7.40834577896501,,,,,,,43.4,28.8,15.6,75.2,50.6,52.2,134.8,29.0,41.0,44.0,41.2,31.8,100.6,41.4,57.6,68.2,0.1,22.4,0.26854201414862333,0.4248294359889851,False,True,False,False,True,True,False,4.4,63.4,30.2,42.0,53.6,41.6,66.4,77.6,88.0,75.6,104.4,4.2,,169.2,137.4,
8.719023633863843,8.431059112926935,34.2,100.0,184.2,211.4,90.0,18.8,,,,,,,,,,,,,,,,,0.18,22.4,0.179469245119655,0.21348760700993216,False,False,True,False,True,True,False,,,,,,,,,,,,,,743.2,500.2,
7.213503851521874,7.130903790040014,3.2,13.0,44.0,42.8,17.6,5.6,28.6,19.8,10.0,59.0,45.0,36.2,106.0,25.6,39.2,40.0,37.6,19.0,70.8,30.2,56.2,57.4,0.18,19.2,0.31994870785276935,0.45090237207692807,False,True,True,False,True,True,False,3.6,45.6,26.8,45.2,51.2,35.4,68.6,61.8,72.8,76.8,93.8,1.6,,135.6,109.8,
4.586791086218623,4.604270599347046,,,,,,,52.4,33.0,18.8,40.0,47.4,30.8,87.4,26.0,66.4,79.8,52.2,57.8,57.2,52.6,66.8,63.4,0.13999999999999999,22.4,0.2168258438046979,0.38006230932640084,False,True,False,False,False,False,True,12.0,32.4,51.0,78.8,62.8,45.6,77.2,74.6,110.4,147.2,75.8,2.8,,,,237.2
6.169247817750857,6.159733321528104,41.2,124.0,223.2,299.6,105.6,18.2,,,,,,,,,,,,,,,,,0.03,19.2,0.099642415030543,0.1986362700713791,False,False,True,False,False,False,True,,,,,,,,,,,,,,,,971.2
4.575978312320962,4.65635230262777,6.8,20.0,30.6,32.6,10.2,2.0,45.4,28.2,15.4,37.6,51.0,31.2,90.6,28.4,60.4,71.0,49.8,55.4,48.0,44.4,64.4,59.6,0.18,22.4,0.21600287653352282,0.28948695299161553,False,True,True,False,False,False,True,9.6,30.2,41.2,78.4,61.0,51.4,79.8,66.8,93.4,161.2,82.4,3.4,,,,231.6
