cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,train_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_test_sentence_length_importance,train_test_word_overlap_importance,ttr_train_importance,ttr_test_importance,train_test_ttr_distance_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
6.374038683998511,16.4348263484776,8.592375370095917,97.0,141.0,298.0,332.0,198.0,50.0,191.0,168.0,318.0,364.0,262.0,204.0,256.0,200.0,0.1,32.0,0.0454340508691558,0.0,0.0,ms-MY,True,False,False,False,False,False,False
6.466736713119542,21.362345216778657,27.196916054966305,101.0,128.0,312.0,330.0,210.0,45.0,175.0,165.0,315.0,395.0,240.0,213.0,253.0,205.0,0.1,32.0,0.0266285189821707,0.0,0.0,mn-MN,True,False,False,False,False,False,False
6.4821026227978935,11.089894204727727,8.223916638681885,96.0,143.0,273.0,316.0,171.0,60.0,176.0,161.0,309.0,416.0,250.0,237.0,247.0,227.0,0.1,32.0,0.0476901451325775,0.0,0.0,tl-PH,True,False,False,False,False,False,False
6.5123964668072265,14.755996442012483,6.978611700515204,99.0,124.0,291.0,356.0,155.0,62.0,195.0,162.0,321.0,389.0,249.0,203.0,267.0,215.0,0.1,32.0,0.0410927275036754,1.7763568394002505e-15,0.0,te-IN,True,False,False,False,False,False,False
6.490049882932112,9.769792910247634,10.69504040931167,95.0,128.0,290.0,337.0,182.0,48.0,170.0,173.0,357.0,341.0,243.0,200.0,288.0,210.0,0.1,32.0,0.0625544744723464,0.0,0.0,tr-TR,True,False,False,False,False,False,False
6.587024011278549,4.895001413871477,12.386330025080442,98.0,137.0,292.0,356.0,185.0,45.0,183.0,165.0,350.0,394.0,261.0,198.0,217.0,205.0,0.1,32.0,0.0336008646421186,0.0,0.0,af-ZA,True,False,False,False,False,False,False
6.540922193864981,10.076095917306976,8.740998479586688,87.0,114.0,285.0,338.0,172.0,52.0,183.0,170.0,317.0,374.0,280.0,231.0,266.0,204.0,0.1,32.0,0.0774308473594582,0.0,0.0,en-US,True,False,False,False,False,False,False
6.578124332679927,7.671286133387477,9.058295113750486,92.0,140.0,294.0,353.0,172.0,55.0,160.0,153.0,331.0,392.0,238.0,189.0,272.0,241.0,0.1,32.0,0.0289090288961384,8.881784197001252e-16,0.0,zh-CN,True,False,False,False,False,False,False
6.493383537166622,8.428369444648341,19.894371267928364,87.0,133.0,266.0,379.0,199.0,23.0,168.0,165.0,341.0,411.0,258.0,213.0,214.0,220.0,0.1,32.0,0.0538926391933383,0.0,0.0,pt-PT,True,False,False,False,False,False,False
6.55882463113814,6.4405237843402485,6.083627446704783,109.0,121.0,300.0,347.0,175.0,54.0,180.0,143.0,320.0,387.0,248.0,215.0,246.0,225.0,0.1,32.0,0.0449697253557584,8.881784197001252e-16,0.0,ml-IN,True,False,False,False,False,False,False
