cv_rmse,test_source_rmse,test_target_rmse,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
11.0864169134907,11.985806240165966,9.224430588330844,0.011014608943288172,2.2469334198890887e-15,5.446206940275961e-15,km-KH,False,True,True,True,True,True,False
13.88339180164474,15.444369379971505,9.955671890292248,0.010506058321766274,3.2754401705733782e-15,3.370400129833633e-15,km-KH,True,False,False,False,False,False,False
12.286363786786723,14.4780320640978,10.730533353493312,0.011262597455254316,1.5888218580782547e-15,3.2754401705733782e-15,km-KH,False,True,True,True,False,False,False
11.185147638604708,12.965061149272554,10.292312716993788,0.010692281490206108,3.076740298213702e-15,1.3759600911837627e-15,km-KH,False,True,True,False,True,False,False
12.476568180976981,11.668622288664372,7.422695809706144,0.010706381867546785,2.383232787117382e-15,3.462756959325817e-15,km-KH,False,True,True,False,False,True,False
10.951864148806639,15.370279610034126,10.821872804118136,0.011243343264091281,4.89707785508039e-15,1.1234667099445444e-15,kn-IN,False,True,True,True,True,True,False
13.868005347317228,14.736636790998531,10.994406877701312,0.010397816180897853,2.5121479338940403e-15,1.3759600911837627e-15,kn-IN,True,False,False,False,False,False,False
12.291589236385306,14.316427544415447,10.569961003219564,0.010188270767613848,1.9459014222361975e-15,2.8642893384395585e-15,kn-IN,False,True,True,True,False,False,False
11.131924553324957,13.502470299906838,10.853265882944775,0.010887522119561236,3.640448215221994e-15,1.7763568394002505e-15,kn-IN,False,True,True,False,True,False,False
12.23512595793895,18.80946245065145,11.013207944170375,0.008937838254567771,0.0,2.1018137570293106e-15,kn-IN,False,True,True,False,False,True,False
11.071293696328876,9.450985892749861,10.492377607378042,0.011387441878514913,3.1776437161565094e-15,3.462756959325817e-15,zh-CN,False,True,True,True,True,True,False
13.806584313204244,13.067862067978876,14.708203884528245,0.011216755750032318,2.9724135207732003e-15,8.407255028117242e-15,zh-CN,True,False,False,False,False,False,False
12.281541196334095,11.805358034713343,12.300920808064763,0.012176583559775885,2.1018137570293106e-15,5.5608765032738915e-15,zh-CN,False,True,True,True,False,False,False
11.202487057057294,9.527658282993489,10.581735821734858,0.01199178542736619,3.076740298213702e-15,3.1776437161565094e-15,zh-CN,False,True,True,False,True,False,False
12.376640723202645,11.014676968120266,12.644549214302916,0.010078700707767013,2.6347629809804343e-15,2.1018137570293106e-15,zh-CN,False,True,True,False,False,True,False
11.082271716939427,10.239382611336513,8.70566183410205,0.013842909305374795,1.1234667099445444e-15,0.0,ms-MY,False,True,True,True,True,True,False
13.806379610734243,15.638128727665656,12.390356406349383,0.013340340611416516,1.3759600911837627e-15,1.3759600911837627e-15,ms-MY,True,False,False,False,False,False,False
12.32346004016869,12.345150511172935,10.25891999514802,0.016883326568516082,1.5888218580782547e-15,1.3759600911837627e-15,ms-MY,False,True,True,True,False,False,False
11.203627477982664,10.375697166880531,9.509695855620171,0.015320474287617878,1.5888218580782547e-15,7.944109290391273e-16,ms-MY,False,True,True,False,True,False,False
12.41492037183622,12.195727452151772,8.793312739151567,0.011482994379684522,7.944109290391273e-16,1.1234667099445444e-15,ms-MY,False,True,True,False,False,True,False
11.09296380169836,8.280432966437541,9.474913406798521,0.013359976791907697,1.3759600911837627e-15,1.5888218580782547e-15,af-ZA,False,True,True,True,True,True,False
13.921313621338683,10.71823136225023,11.262703321636874,0.012598909697143836,7.944109290391273e-16,3.1776437161565094e-15,af-ZA,True,False,False,False,False,False,False
12.375965942640004,8.966547198670847,10.26292150786993,0.016606845806603633,1.1234667099445444e-15,1.3759600911837627e-15,af-ZA,False,True,True,True,False,False,False
11.22885913096028,8.480316482631487,9.268807492063576,0.015544118228615325,1.5888218580782547e-15,1.1234667099445444e-15,af-ZA,False,True,True,False,True,False,False
12.426211731028886,9.079832414160908,11.382815807508521,0.012037330937624465,7.944109290391273e-16,1.3759600911837627e-15,af-ZA,False,True,True,False,False,True,False
10.986737552352956,11.888389341056632,12.991263285759675,0.011447072109095215,2.5121479338940403e-15,4.766465574234764e-15,vi-VN,False,True,True,True,True,True,False
13.717224159217398,16.48822962506247,15.701678648792555,0.012391832376350748,0.0,1.7763568394002505e-15,vi-VN,True,False,False,False,False,False,False
12.212837375553184,13.349987175486438,15.139409786076417,0.01430127927354454,1.5888218580782547e-15,1.7763568394002505e-15,vi-VN,False,True,True,True,False,False,False
11.077208419590388,12.10606908237461,14.650311341765809,0.012170945774375976,1.1234667099445444e-15,3.1776437161565094e-15,vi-VN,False,True,True,False,True,False,False
12.350162721385605,13.681306592294703,11.244387829681829,0.010133169681894866,7.944109290391273e-16,1.3759600911837627e-15,vi-VN,False,True,True,False,False,True,False
11.01783302015232,10.9907288434772,13.94752064243641,0.013518848858187988,3.2754401705733782e-15,1.0978977471411926e-14,ja-JP,False,True,True,True,True,True,False
13.753316418919596,13.002406554325457,21.939634798871925,0.012966704505141115,1.5888218580782547e-15,8.101433657963767e-15,ja-JP,True,False,False,False,False,False,False
12.245720819871662,12.446374631174288,17.299886685100066,0.015436543463533804,2.8642893384395585e-15,8.987733679556355e-15,ja-JP,False,True,True,True,False,False,False
11.154125336947203,11.057539633828878,14.242949621190983,0.01413467423315682,2.8642893384395585e-15,6.4047456679787536e-15,ja-JP,False,True,True,False,True,False,False
12.321041335296432,12.084974981198961,18.34097286032067,0.012600689686244759,2.383232787117382e-15,5.503840364735051e-15,ja-JP,False,True,True,False,False,True,False
11.08346011182867,9.18172689706483,10.025670201589291,0.013541816199510524,1.1234667099445444e-15,2.1018137570293106e-15,zh-TW,False,True,True,True,True,True,False
13.856664563882367,12.045602014200295,12.348442544869165,0.015854503430804787,1.5888218580782547e-15,7.944109290391273e-16,zh-TW,True,False,False,False,False,False,False
12.32513525167431,11.274621141145548,11.681499225700922,0.01872698717032673,2.7519201823675253e-15,4.8322130328186015e-15,zh-TW,False,True,True,True,False,False,False
11.219031608398755,9.1704334305609,9.941367138866932,0.013958947467065717,1.7763568394002505e-15,1.7763568394002505e-15,zh-TW,False,True,True,False,True,False,False
