cv_rmse,test_source_rmse,test_target_rmse,train_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_test_sentence_length_importance,train_test_word_overlap_importance,ttr_train_importance,ttr_test_importance,train_test_ttr_distance_importance,train_test_jsd_importance,train_test_tf_idf_importance,train_test_st_similarity_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,directional_indicator_importance,smollm_135m_score_importance,smollm_360m_score_importance,bloomz_560m_score_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
5.506715970969401,5.964928277021739,6.137108542804283,0.02935336,0.107025936,0.031160977,0.02155902,0.024707515,0.04332619,0.026230479,0.022264954,0.028266177,0.01674365,0.03252588,0.050275862,0.025532026,0.014783861,0.0109425355,0.014501378,0.0110252295,0.006026423,0.08069605,0.37046435,0.03258817,0.0321169696322696,4600.0,0.0304875886347502,0.2170768776073467,0.2860476441196101,zh-CN,False,True,True,True,True,True,False
6.671748199077894,5.415397270456511,7.217796176220867,0.05887243,0.099423505,0.043433398,0.061050016,0.20763381,0.059654452,0.10017192,0.017777389,,,,0.1867212,0.055826627,0.026936615,0.017702552,0.023698367,0.041097682,,,,,0.0424186136199415,3850.0,0.0403428212933947,0.2440349162368782,0.1378959752401518,zh-CN,True,False,False,False,False,False,False
5.962772248051603,12.82723375176821,9.909878904922746,0.036330737,0.1154513,0.0332975,0.04126055,0.03409768,0.06804092,0.0686128,0.020431986,0.08425133,0.022741264,0.037861127,0.06354533,0.032062586,0.019158484,0.014102086,0.016927611,0.014303151,0.0090105515,0.26851296,,,0.0398307929054434,4100.0,0.0610197318616091,0.3942560268918493,0.4502352157471166,zh-CN,False,True,True,True,False,False,False
5.513049262298194,6.246920411851393,5.691026721774667,0.030117761,0.1267821,0.03348159,0.027102444,0.039286233,0.05717043,0.033591595,0.02531283,0.07237573,0.021131942,0.033178687,0.0607073,0.028795684,0.016579116,0.01271722,0.015929678,0.013945547,0.007978276,,0.34381586,,0.0404874568439854,4150.0,0.0354812342514211,0.0983708249554275,0.2154900473470378,zh-CN,False,True,True,False,True,False,False
6.00407240061316,9.097203268337491,10.363535516240203,0.0351275,0.08147963,0.040940676,0.045879535,0.1442305,0.03996386,0.0655451,0.0131241055,0.117123805,0.01745669,0.052105762,0.08810425,0.041997842,0.021928731,0.014049919,0.016100178,0.012766413,0.010586883,,,0.14148866,0.0436872441836298,4150.0,0.0392968567987562,0.2744686408114375,0.3736967153844883,zh-CN,False,True,True,False,False,True,False
5.514732446292179,4.479833937505647,5.854025459241244,0.029934939,0.11199548,0.03181278,0.023874044,0.022900943,0.038055472,0.026417902,0.023239614,0.024303332,0.017053755,0.033539765,0.055945523,0.02450228,0.014110181,0.011203993,0.016577777,0.01567042,0.0068510487,0.07583466,0.36083382,0.035342265,0.0318960999900464,4600.0,0.0371812788432686,0.1093013807181653,0.0777763799233085,pt-PT,False,True,True,True,True,True,False
6.558429170083794,7.600016261626196,19.32375359793045,0.06378384,0.100445054,0.04491432,0.06758253,0.19062643,0.053815294,0.10250244,0.01726946,,,,0.19171897,0.06440021,0.02736642,0.018353797,0.0247686,0.032452654,,,,,0.037861683642153,4450.0,0.0767168750590273,0.1270721784550447,0.3899835764591757,pt-PT,True,False,False,False,False,False,False
5.975501846082685,4.874222155087731,12.293514586081953,0.039424732,0.12807438,0.034095794,0.043709025,0.026759272,0.058467817,0.0710329,0.0203229,0.07351979,0.026641663,0.038791716,0.07380207,0.03631363,0.017228803,0.014894672,0.018890971,0.014097124,0.009919435,0.25401333,,,0.0397414290734,4550.0,0.0447131272875054,0.1522515719387642,0.2175111943340894,pt-PT,False,True,True,True,False,False,False
5.497678878388475,4.645023221886452,6.797322541993585,0.03876374,0.13042943,0.035316687,0.029447813,0.02433891,0.049997628,0.035859652,0.024394806,0.07371478,0.020497527,0.03443904,0.06761047,0.028316056,0.016138637,0.013950141,0.018163923,0.014649625,0.008091692,,0.33587947,,0.0486553916618038,4450.0,0.0666775361845596,0.1613585321816547,0.0992235554019808,pt-PT,False,True,True,False,True,False,False
5.968107247548143,5.302903602519736,10.647863938644338,0.043019585,0.0966082,0.04129051,0.047330506,0.11958651,0.038360905,0.062350415,0.014395274,0.09924849,0.021117466,0.056247104,0.09110074,0.043976646,0.02007732,0.014501979,0.018306544,0.0132831605,0.010369435,,,0.14882919,0.0354616257876799,4750.0,0.0402763648573917,0.0664394811845194,0.1625567914346609,pt-PT,False,True,True,False,False,True,False
5.460695471980171,7.877214571756383,8.671053138304808,0.030158173,0.110291004,0.03136093,0.019753657,0.020284751,0.039328847,0.025782526,0.022637423,0.027858954,0.014246237,0.034428082,0.055842042,0.019795844,0.015002397,0.011221426,0.013934965,0.015449787,0.0072175143,0.077385165,0.3724947,0.035525616,0.0393453341983288,4750.0,0.0350824565213786,0.2738782696954018,0.2423433253862064,ml-IN,False,True,True,True,True,True,False
6.600205417247722,8.273004153748696,7.651568916779787,0.0648676,0.10779359,0.04293152,0.060541313,0.19479309,0.054314326,0.095777035,0.01685515,,,,0.19063552,0.055638414,0.029817065,0.01781705,0.025173321,0.043045007,,,,,0.0355418343642556,4650.0,0.0568695667387757,0.3894622538509464,0.1587641092526408,ml-IN,True,False,False,False,False,False,False
5.938316686940136,6.6321690323445,8.416109633380135,0.047751658,0.123070836,0.032726347,0.039249618,0.022196522,0.05386936,0.06275186,0.021201918,0.08310301,0.023718428,0.04071712,0.07293999,0.031213108,0.018859964,0.014525655,0.02104201,0.017698385,0.010264153,0.26310003,,,0.0438591092170995,3800.0,0.0409266742273858,0.3558723176802036,0.2285904367122753,ml-IN,False,True,True,True,False,False,False
5.4076847335997815,8.453294220812179,8.441042821628436,0.03277328,0.12556331,0.034322225,0.024318678,0.02235983,0.049510363,0.032343253,0.025226861,0.07694517,0.018421698,0.036731526,0.075204924,0.025062611,0.016130699,0.012777494,0.0152462395,0.016991977,0.008784374,,0.35128546,,0.0498651017549609,4000.0,0.0197871807917918,0.4739205656219987,0.3966765835292505,ml-IN,False,True,True,False,True,False,False
5.9588194522424125,8.319259844486975,8.384715921521671,0.038744822,0.09072331,0.036875054,0.04004071,0.094023064,0.041778386,0.056691576,0.012818569,0.12185164,0.01870004,0.05919615,0.111563995,0.04132485,0.023092974,0.013653735,0.016870314,0.0151162315,0.010396361,,,0.15653825,0.0494605518872083,3750.0,0.0388428548444002,0.4177499029665813,0.4237112674849743,ml-IN,False,True,True,False,False,True,False
5.40673154429547,7.503653700379767,9.90793599948833,0.029223055,0.1077114,0.032241426,0.020994376,0.024011087,0.037740834,0.027140135,0.023875473,0.023688916,0.017044295,0.033197153,0.0535535,0.02469966,0.014281683,0.011254293,0.018234152,0.012868298,0.0063385232,0.07430537,0.3734495,0.034146883,0.0303052232773178,4550.0,0.0392691902392866,0.1533396629841213,0.2932556499705409,en-US,False,True,True,True,True,True,False
6.506945962123728,11.172279692386123,8.809064175984705,0.06377757,0.103090465,0.043179255,0.05904907,0.18539056,0.054436438,0.10258739,0.01685147,,,,0.1985707,0.060207497,0.027069595,0.017910415,0.02674522,0.041134354,,,,,0.0434086311878577,4600.0,0.037108041222097,0.3874491225898417,0.1829083184804543,en-US,True,False,False,False,False,False,False
5.827110373702775,7.406332071520765,9.764183636164535,0.04327771,0.12219937,0.03432422,0.038342476,0.038981494,0.05454432,0.06531843,0.022807177,0.068187796,0.026898375,0.042869024,0.07291046,0.03819453,0.017567622,0.014444898,0.022721523,0.013888103,0.009352717,0.25316975,,,0.0432728618274629,4000.0,0.0478199353750103,0.2864177167149533,0.1497005440873987,en-US,False,True,True,True,False,False,False
5.342531632125703,6.954543540846082,9.381303475024406,0.031125536,0.11723542,0.034377612,0.026252344,0.02681813,0.047455177,0.03522753,0.026065573,0.06791748,0.021373246,0.036628358,0.07157745,0.0281147,0.015959889,0.013113881,0.019180259,0.015732098,0.007916184,,0.35792917,,0.0381351391775329,4400.0,0.0598928519328834,0.1803461064284206,0.0867921941754233,en-US,False,True,True,False,True,False,False
5.891983407047961,6.857881403169593,8.814322864972436,0.040232353,0.08901866,0.0409212,0.043461896,0.13483782,0.040553812,0.06283473,0.014677237,0.08887448,0.021228032,0.0606035,0.10111874,0.038925923,0.021143552,0.014786606,0.019129347,0.017131653,0.009165758,,,0.1413547,0.0491469997542283,4000.0,0.0451670131571753,0.1909697333604364,0.3290409849988039,en-US,False,True,True,False,False,True,False
5.482233368599768,6.185217336798415,4.425862737062232,0.02968517,0.11165484,0.0330381,0.021454837,0.024504824,0.039955758,0.02647601,0.022567712,0.024292694,0.016211594,0.03443523,0.053061713,0.02645531,0.014805192,0.011115134,0.016753953,0.0139671685,0.006516361,0.072727576,0.36763906,0.0326818,0.0370688472242463,4300.0,0.031767118646172,0.2043585727130344,0.1412508286303389,af-ZA,False,True,True,True,True,True,False
6.650608724845204,5.2613477610661885,9.32904179448971,0.064080045,0.10634905,0.043827455,0.061165005,0.1865733,0.057030153,0.10050943,0.018093558,,,,0.1833663,0.06592486,0.029883053,0.01821973,0.025197953,0.03978009,,,,,0.0374936435079984,4550.0,0.0376111974103844,0.126420640578884,0.5387822656543868,af-ZA,True,False,False,False,False,False,False
5.953081508028385,5.4242083751193695,4.6117058957028245,0.045229487,0.12665838,0.031545796,0.039065186,0.0299006,0.059404332,0.07260573,0.021860586,0.069852024,0.02750035,0.043277748,0.06976651,0.037239857,0.018296394,0.014809516,0.0205363,0.015095731,0.010208957,0.24714656,,,0.0402179906739463,4600.0,0.0386707625660623,0.1706889219326446,0.3731762922339832,af-ZA,False,True,True,True,False,False,False
5.482279781700695,5.570571571235633,4.569128705438101,0.033760577,0.12525813,0.033309888,0.026827896,0.026217729,0.049599208,0.034800984,0.025203303,0.070601694,0.021362176,0.03870373,0.06679637,0.030136758,0.016164351,0.013907939,0.017571062,0.013449969,0.007933404,,0.3483948,,0.041166074235033,4400.0,0.0284017640067983,0.130951806875349,0.153497703888717,af-ZA,False,True,True,False,True,False,False
5.981025976049545,5.4347033886838325,7.285586343887584,0.043200605,0.09581042,0.043043565,0.044097614,0.105209805,0.04092843,0.064740315,0.014344966,0.094593555,0.020104121,0.0677938,0.081673846,0.0519555,0.025466736,0.014942991,0.019407123,0.015097326,0.009323068,,,0.1482662,0.0525188601608728,4400.0,0.0251413640989735,0.1458954683653667,0.4672163641670866,af-ZA,False,True,True,False,False,True,False
5.42511105621278,7.617862025318047,7.978880526594919,0.028990915,0.111435354,0.03206261,0.021813761,0.021659495,0.0393397,0.025994504,0.023168627,0.025020942,0.015429577,0.03152117,0.05195713,0.025394117,0.015216181,0.010816722,0.017810542,0.0143707,0.0065775984,0.07861033,0.3720364,0.030773705,0.0443181214830744,4350.0,0.0455439832260998,0.1531470179483416,0.2715029465569967,tr-TR,False,True,True,True,True,True,False
6.506816803375173,9.484374439848397,10.247932670644303,0.061620973,0.10960345,0.043253154,0.05956599,0.20424385,0.053593554,0.09630536,0.01754722,,,,0.18335468,0.060419016,0.028307002,0.018029118,0.026201304,0.037955333,,,,,0.0407020748044635,3850.0,0.0540383606043929,0.2324301168869608,0.3537627788787659,tr-TR,True,False,False,False,False,False,False
