cv_rmse,test_source_dik_rmse,test_target_dik_rmse,test_source_ewe_rmse,test_target_ewe_rmse,test_source_fao_rmse,test_target_fao_rmse,test_source_hne_rmse,test_target_hne_rmse,test_source_kin_rmse,test_target_kin_rmse,test_source_kir_rmse,test_target_kir_rmse,test_source_lmo_rmse,test_target_lmo_rmse,test_source_mri_rmse,test_target_mri_rmse,test_source_sna_rmse,test_target_sna_rmse,test_source_tat_rmse,test_target_tat_rmse,test_source_tuk_rmse,test_target_tuk_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dataset_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,learning_rate,num_leaves,test_source_rmse,test_target_rmse,cv_rmse_se,test_source_dik_rmse_se,test_target_dik_rmse_se,test_source_ewe_rmse_se,test_target_ewe_rmse_se,test_source_fao_rmse_se,test_target_fao_rmse_se,test_source_hne_rmse_se,test_target_hne_rmse_se,test_source_kin_rmse_se,test_target_kin_rmse_se,test_source_kir_rmse_se,test_target_kir_rmse_se,test_source_lmo_rmse_se,test_target_lmo_rmse_se,test_source_mri_rmse_se,test_target_mri_rmse_se,test_source_sna_rmse_se,test_target_sna_rmse_se,test_source_tat_rmse_se,test_target_tat_rmse_se,test_source_tuk_rmse_se,test_target_tuk_rmse_se,train_is_seen,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft,dev_size_importance,test_size_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,test_source_sin_rmse,test_target_sin_rmse,test_source_amh_rmse,test_target_amh_rmse,test_source_tgl_rmse,test_target_tgl_rmse,test_source_arz_rmse,test_target_arz_rmse,test_source_kaz_rmse,test_target_kaz_rmse,test_source_zul_rmse,test_target_zul_rmse,test_source_mar_rmse,test_target_mar_rmse,test_source_hye_rmse,test_target_hye_rmse,test_source_xho_rmse,test_target_xho_rmse,test_source_kan_rmse,test_target_kan_rmse,test_source_mya_rmse,test_target_mya_rmse,test_source_jav_rmse,test_target_jav_rmse,test_source_tam_rmse,test_target_tam_rmse,test_source_afr_rmse,test_target_afr_rmse,test_source_ind_rmse,test_target_ind_rmse,test_source_som_rmse,test_target_som_rmse,test_source_yor_rmse,test_target_yor_rmse,test_source_wol_rmse,test_target_wol_rmse,test_source_bel_rmse,test_target_bel_rmse,test_source_cym_rmse,test_target_cym_rmse,test_source_ssw_rmse,test_target_ssw_rmse,test_source_guj_rmse,test_target_guj_rmse,test_source_khm_rmse,test_target_khm_rmse,test_source_bak_rmse,test_target_bak_rmse,test_source_plt_rmse,test_target_plt_rmse,test_source_kat_rmse,test_target_kat_rmse,test_source_hau_rmse,test_target_hau_rmse,test_source_pan_rmse,test_target_pan_rmse,test_source_ceb_rmse,test_target_ceb_rmse,test_source_oci_rmse,test_target_oci_rmse,test_source_snd_rmse,test_target_snd_rmse,test_source_ltz_rmse,test_target_ltz_rmse,test_source_ibo_rmse,test_target_ibo_rmse,test_source_sin_rmse_se,test_target_sin_rmse_se,test_source_amh_rmse_se,test_target_amh_rmse_se,test_source_tgl_rmse_se,test_target_tgl_rmse_se,test_source_arz_rmse_se,test_target_arz_rmse_se,test_source_kaz_rmse_se,test_target_kaz_rmse_se,test_source_zul_rmse_se,test_target_zul_rmse_se,test_source_mar_rmse_se,test_target_mar_rmse_se,test_source_hye_rmse_se,test_target_hye_rmse_se,test_source_xho_rmse_se,test_target_xho_rmse_se,test_source_kan_rmse_se,test_target_kan_rmse_se,test_source_mya_rmse_se,test_target_mya_rmse_se,test_source_jav_rmse_se,test_target_jav_rmse_se,test_source_tam_rmse_se,test_target_tam_rmse_se,test_source_afr_rmse_se,test_target_afr_rmse_se,test_source_ind_rmse_se,test_target_ind_rmse_se,test_source_som_rmse_se,test_target_som_rmse_se,test_source_yor_rmse_se,test_target_yor_rmse_se,test_source_wol_rmse_se,test_target_wol_rmse_se,test_source_bel_rmse_se,test_target_bel_rmse_se,test_source_cym_rmse_se,test_target_cym_rmse_se,test_source_ssw_rmse_se,test_target_ssw_rmse_se,test_source_guj_rmse_se,test_target_guj_rmse_se,test_source_khm_rmse_se,test_target_khm_rmse_se,test_source_bak_rmse_se,test_target_bak_rmse_se,test_source_plt_rmse_se,test_target_plt_rmse_se,test_source_kat_rmse_se,test_target_kat_rmse_se,test_source_hau_rmse_se,test_target_hau_rmse_se,test_source_pan_rmse_se,test_target_pan_rmse_se,test_source_ceb_rmse_se,test_target_ceb_rmse_se,test_source_oci_rmse_se,test_target_oci_rmse_se,test_source_snd_rmse_se,test_target_snd_rmse_se,test_source_ltz_rmse_se,test_target_ltz_rmse_se,test_source_ibo_rmse_se,test_target_ibo_rmse_se
8.249611420500313,4.292878450096328,6.288120993661201,3.6889440052101437,8.049642599414067,12.195178840032701,18.9713876827443,13.420444092640754,5.956939176715803,5.717247279707055,21.61716947919375,7.070380966141249,4.051930372402059,2.67023823494927,10.45105848065054,15.790490297461378,5.12206863861363,3.8303343305275717,5.492648274203572,4.487514226887411,13.547977086174196,8.440473124921544,7.783833111278947,52.2,61.6,74.2,68.4,40.8,2.2,161.8,66.8,26.4,129.6,194.6,87.2,279.0,83.2,207.2,195.6,98.6,43.0,142.6,108.0,215.4,264.8,0.1,48.0,7.418556713506856,9.75752508136837,0.07073313387569714,0.40706468081169767,1.1541418700797945,0.23376135751121843,0.2745612171638261,1.062563262466527,1.3534077329131546,1.3854151191045054,0.29026472657171437,0.35645201468039595,0.8669594069871979,0.9491846773461768,0.7702521404922321,0.8192439296037237,0.5747447874874767,1.0279220780586613,0.387999689693058,0.47649031912207773,0.632232086735949,0.4041237095672351,0.5311653390174935,0.4629059179463684,0.6635700334091591,True,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7883515861037127,5.009808657128021,3.899209124211036,4.756791836647922,6.0622085112504935,4.906494422002772,3.413650163888768,13.27104477463028,1.8208141806287101,2.154118163724434,6.837227063176445,4.060310183285342,10.29202458941345,5.947734053941862,1.0153354966323596,1.2759035113027262,2.962287466768476,2.9498863070959356,4.547446391868634,2.577845018828466,2.6372307201086946,8.577769034467968,5.133579702287494,15.2,9.2,30.2,25.6,13.0,2.8,90.6,23.0,14.4,19.8,42.4,22.8,37.2,20.8,45.2,19.6,39.6,16.8,21.6,59.0,45.0,25.8,0.13999999999999999,25.6,5.04433690573234,4.420092128203142,0.056916038172281906,0.8290046030375058,0.9686136731179406,0.17867542716454146,0.128197983451509,0.25511653555041314,0.13610909274979677,0.1741855850070672,0.6807545243898143,1.0466360731995128,0.975565072562346,0.44932410842141335,1.0912615160428156,0.21794136828371558,0.2689193308820957,0.05345822024597678,0.2307200617044959,0.5044597558922855,0.17691281390894334,0.18271635842793318,0.1884774896598059,0.16186574683679156,0.07744780715558874,True,False,True,True,True,True,True,True,2.6,16.0,36.0,63.6,32.8,49.2,57.2,40.8,60.0,73.2,45.8,4.6,197.4,78.8,189.8,94.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.254618687331201,3.8757349053321972,3.8166104997594856,7.238513318414283,8.880308916251106,6.0384128734787925,4.70379262898827,10.07666154909903,9.889345801668632,15.273641821845791,12.239984905564151,20.88979447442339,11.725037389816105,3.491843832059304,7.5047889078101075,7.139283357174854,3.0505879897724677,7.237367388325223,5.166787577202326,6.060773708634655,10.611882128793077,7.826410089387285,12.63514387509897,,,,,,,104.0,28.0,14.8,48.0,74.6,37.8,110.6,32.2,87.2,61.0,53.4,20.6,65.4,54.0,78.8,79.2,0.21999999999999997,25.6,8.649857938015892,8.202206420065881,0.06816713842091257,1.2566915648558001,0.6478454314657125,0.22178455628636287,0.390670827217013,0.19857252028602435,0.8062433184173207,1.3798457829832182,1.753514044714355,1.4761995444361882,0.1591072083064489,1.19347466096912,0.8984345006145379,0.2912316767712417,1.7467500976687051,0.5156411332440398,0.2489130076466933,0.2842362879528232,0.645689663076727,0.28398192606378303,0.1760355042670365,0.4618740047268338,1.0813501944957842,True,False,True,False,False,False,False,False,3.0,39.0,57.6,129.8,56.0,62.4,104.4,74.4,82.2,105.0,88.8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.263551911931952,6.017903474539466,9.333137607269128,6.1454770187338905,4.597031816704964,14.759036840481949,18.642007563378225,5.07116811694857,7.730755302711344,6.6990345914791884,22.87655538200402,9.000542146180328,5.986542853665408,10.957476258761162,16.943434344761123,13.274657344610654,14.613655693354128,15.82234772354351,13.69377097202678,4.442920864512436,13.264239923984997,11.213542488419264,6.033183238373203,128.4,330.2,411.4,380.8,201.4,27.2,,,,,,,,,,,,,,,,,0.3,22.4,9.400373351655492,12.155846790748484,0.033404395799363495,0.028152054866501533,0.05809007338509805,0.061824135995480874,0.00855459189273005,0.1052910811522281,0.10665755362658635,0.42514015549293743,0.27564890722851665,0.02231455506580097,0.14114823461348203,0.1788286331605327,0.3157376567384923,0.006002589992767171,0.007077565033716745,0.04800654584911364,0.0040641377389845305,0.18136837301685776,0.16847534696813063,0.02407866690744509,0.06765907127066932,0.04439158680168407,0.013529316980636006,True,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.878026682576142,2.639571967387286,2.4552764194499916,4.349880600418059,9.391418144665737,11.739890600381703,16.818908318073095,19.931981263851227,7.446526116044742,11.82038168977405,8.835336991212781,6.073268813326671,6.776457162243508,5.4796881869504634,3.609319176728726,11.372575222373719,4.130769947547125,3.151266705205276,6.172738829007441,5.634969346894915,8.898314181817327,6.755004066312203,6.94203815319454,66.6,51.6,48.0,48.0,28.4,3.0,98.8,42.6,14.2,63.0,62.4,40.4,136.6,38.8,96.8,79.2,66.4,15.8,87.6,53.8,86.4,87.6,0.18,32.0,8.086225314806871,7.407009403635001,0.08513832900988695,0.5176510000851948,0.4454849660658705,0.6099256529252751,1.9071991181317072,0.4583789301354881,0.5040504281822122,3.124043497150591,1.5532801722578784,2.452786842241836,0.7228145162404689,2.345925322307973,1.1905142646370834,0.7976997353108142,1.2014565861222521,1.2556870124107886,0.6154223635270043,0.44627834257198584,0.19480867064280794,0.47211500836933695,0.23461946844481765,0.6504528499236945,0.3812968643193301,True,False,True,True,False,False,False,False,4.6,42.8,48.8,132.4,70.0,46.2,126.8,87.8,64.8,123.4,102.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.482783957569992,8.043026786295883,2.9953603045354407,5.047136085996984,6.281656974828906,2.9349553230812857,1.15693542764592,16.117469637793317,2.6722129614995076,5.157790983498697,12.13543547258902,13.236530972257611,7.26942277504732,4.336298667526941,8.05791017497253,3.312703241385402,4.497581436850731,7.16158233061322,3.468693885168382,3.6444169754967746,4.322068435508006,10.661574319916657,11.754538027951659,,,,,,,112.4,34.4,8.8,58.0,96.4,44.4,107.8,46.2,76.4,62.2,69.6,24.6,66.6,80.8,69.6,80.0,0.14,35.2,7.2412259385329785,5.8738014433270385,0.07857914882425612,0.5503021613350533,0.7932813891322895,1.048737345425448,0.41941919966796615,0.8099516612463543,0.6117082877115726,2.075386643362129,0.8345995567553861,0.7491181546776168,0.9412429440679804,0.5521673516132874,0.3039114275607969,0.2030451895857591,0.6279647851163648,0.3490758577785085,0.949963884640115,0.7991031650667657,0.29664008801169467,0.398000857861271,0.3030256271701655,0.5112229227298578,0.6151160024225997,True,False,True,False,True,False,False,False,4.6,41.2,48.2,83.6,83.8,76.0,71.0,54.6,91.8,134.2,73.8,4.4,233.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.902606784630272,3.291493703171073,2.038335553289069,5.581152510982149,6.901121478812408,12.806662733869596,15.441089004745951,14.107923172538927,1.7515229575259277,5.887107486936024,9.475912682103921,3.269896016266462,12.712915265804067,5.666546384460348,9.40816140392101,7.923382364935582,10.505349503785501,5.633790375264908,5.110457620615316,5.961456445907613,5.976050838133706,10.263800073366005,5.793883647905718,144.0,109.6,198.6,204.8,86.8,38.8,,,,,,,,,,,,,,,,,0.072,16.0,7.308473751608972,7.737709086967509,0.024577137408344236,0.7200109820719172,0.0491457319409263,1.8081233047794762,1.6298578479632557,2.2033290152096208,1.0161447969477977,1.5999119223257072,0.1764377313203797,0.2799150086722754,0.892559982120698,0.6403849363597311,1.1673617922687367,1.0938475221905055,0.4898757888868379,0.8921205797573888,0.7589365632591184,0.705936534989338,0.22386499171137228,0.3883276336659417,0.002435191781974667,0.10578928072740401,0.06211822231968505,True,False,False,True,True,False,False,False,,,,,,,,,,,,,709.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.174476714149277,7.285518733833641,6.046412544482765,6.454084529318,3.9512360122835135,6.657612985628259,6.050512860935186,16.748338174160523,3.6276809001891133,5.072469151207878,14.718789977979892,10.417082681754756,4.993003294824884,4.724890732414687,6.986735422802726,7.717017423799687,4.629587975464702,7.295833916637569,4.182088683453785,3.85821653995661,3.055481395184378,9.480213782253754,8.458778946760253,43.0,30.0,33.0,49.0,9.0,1.0,73.0,23.0,5.0,55.0,37.0,17.0,96.0,31.0,58.0,30.0,43.0,19.0,46.0,45.0,45.0,37.0,0.1,16.0,7.791934422815033,6.0636643649419275,0.05285885345922259,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,True,True,False,False,False,2.0,39.0,36.0,50.0,51.0,37.0,38.0,41.0,58.0,68.0,63.0,5.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.445292374011709,4.92520445142364,1.2340494968178777,6.081141131385363,6.0260930546106755,4.43183654396797,2.7558514857431415,12.636609468615541,2.101906537952098,5.843396078436813,2.0734164321866153,3.661130292888527,11.444309468190886,4.754246721550634,1.7523497717361418,1.7361906159293472,1.4979811084928167,1.801229582341831,3.4990246900315243,2.8186447429739396,1.8340092199288391,9.710891904865134,4.458019393465593,,,,,,,143.6,54.8,27.0,45.4,94.6,52.0,69.2,38.2,75.8,63.6,90.6,35.8,40.2,93.4,97.2,78.0,0.18,41.6,5.309138321307159,3.51609187810511,0.04535031485612483,0.574829160163013,0.5806430143825033,0.26687542699751154,1.8543425476223199,0.2650930155993426,0.7814425388596217,1.0596755604637118,1.82811220051679,0.48096992275579026,1.0243578258551984,0.35189857645760203,0.5575118929467527,0.7313128069339534,0.45820412322245035,0.1452696274315,0.1596056978812664,0.14480487074809548,0.3331818836224547,0.3116622485775128,0.6958811117891227,0.2334689855997353,0.5043988129580016,True,False,True,False,False,True,False,False,6.4,31.8,60.2,128.2,65.4,65.4,115.2,92.2,81.0,179.0,92.0,3.2,,,365.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.394300199123727,1.6065920383674352,5.550022591562156,3.1089886349524005,2.9342489779967975,7.952105200923779,4.543061222288764,9.430037994984286,4.068276262577604,7.90328568100235,1.8113891056574043,2.9379626971514226,10.59351656655877,2.907593198360812,1.9451768532405187,2.9165125185978016,3.483077127268536,3.801360452263778,4.022733871020732,1.6682590437092206,3.0865951819543587,10.633879285684188,6.302622677920519,66.0,90.0,289.0,223.0,41.0,11.0,,,,,,,,,,,,,,,,,0.03,16.0,4.987870613272498,4.394610948913288,0.022012395775829627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,4.440892098500626e-16,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,True,False,False,True,False,True,False,False,,,,,,,,,,,,,,,780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
