language,flores_abbr,small100_abbr
Afrikaans,afr,af
Amharic,amh,am
Bashkir,bak,ba
Belarusian,bel,be
Cebuano,ceb,ceb
Welsh,cym,cy
Gujarati,guj,gu
Hausa,hau,ha
English,eng,en
Armenian,hye,hy
Igbo,ibo,ig
Indonesian,ind,id
Javanese,jav,jv
Kannada,kan,kn
Georgian,kat,ka
Kazakh,kaz,kk
Luxembourgish,ltz,lb
Marathi,mar,mr
Burmese,mya,my
Occitan,oci,oc
Sindhi,snd,sd
Somali,som,so
Swati,ssw,ss
Tamil,tam,ta
Tagalog,tgl,tl
Wolof,wol,wo
Xhosa,xho,xh
Yoruba,yor,yo
Zulu,zul,zu
Egyptian Arabic,arz,ar
Assamese,asm,
Southwestern Dinka,dik,
Ewe,ewe,
Faroese,fao,
Chhattisgarhi,hne,
Kabyle,kab,
Khmer,khm,km
Kinyarwanda,kin,
Kyrgyz,kir,
Lombard,lmo,
Plateau Malagasy,plt,mg
Maori,mri,
Norwegian Nynorsk,nno,no
Eastern Panjabi,pan,pa
Sinhala,sin,si
Shona,sna,
Tatar,tat,
Telugu,tel,
Tajik,tgk,
Turkmen,tuk,
Uyghur,uig,
Ambon,abs,abs
Batak,btk,btk
Betawi,bew,bew
Bima,bhp,bhp
Madurese,mad,mad
Minangkabau,min,min
Makassarese,mak,mak
Palembang,mui,mui
Rejang,rej,rej
Sundanese,sun,su
