Language,flores200_code,trimmed_code
Acehnese (Arabic script),ace_Arab,ace
Acehnese (Latin script),ace_Latn,ace
Mesopotamian Arabic,acm_Arab,acm
Taizzi-Adeni Arabic,acq_Arab,acq
Tunisian Arabic,aeb_Arab,aeb
Afrikaans,afr_Latn,afr
South Levantine Arabic,ajp_Arab,ajp
Akan,aka_Latn,aka
Amharic,amh_Ethi,amh
North Levantine Arabic,apc_Arab,apc
Modern Standard Arabic,arb_Arab,arb
Modern Standard Arabic (Romanized),arb_Latn,arb
Najdi Arabic,ars_Arab,ars
Moroccan Arabic,ary_Arab,ary
Egyptian Arabic,arz_Arab,arz
Assamese,asm_Beng,asm
Asturian,ast_Latn,ast
Awadhi,awa_Deva,awa
Central Aymara,ayr_Latn,ayr
South Azerbaijani,azb_Arab,azb
North Azerbaijani,azj_Latn,azj
Bashkir,bak_Cyrl,bak
Bambara,bam_Latn,bam
Balinese,ban_Latn,ban
Belarusian,bel_Cyrl,bel
Bemba,bem_Latn,bem
Bengali,ben_Beng,ben
Bhojpuri,bho_Deva,bho
Banjar (Arabic script),bjn_Arab,bjn
Banjar (Latin script),bjn_Latn,bjn
Standard Tibetan,bod_Tibt,bod
Bosnian,bos_Latn,bos
Buginese,bug_Latn,bug
Bulgarian,bul_Cyrl,bul
Catalan,cat_Latn,cat
Cebuano,ceb_Latn,ceb
Czech,ces_Latn,ces
Chokwe,cjk_Latn,cjk
Central Kurdish,ckb_Arab,ckb
Crimean Tatar,crh_Latn,crh
Welsh,cym_Latn,cym
Danish,dan_Latn,dan
German,deu_Latn,deu
Southwestern Dinka,dik_Latn,dik
Dyula,dyu_Latn,dyu
Dzongkha,dzo_Tibt,dzo
Greek,ell_Grek,ell
English,eng_Latn,eng
Esperanto,epo_Latn,epo
Estonian,est_Latn,est
Basque,eus_Latn,eus
Ewe,ewe_Latn,ewe
Faroese,fao_Latn,fao
Fijian,fij_Latn,fij
Finnish,fin_Latn,fin
Fon,fon_Latn,fon
French,fra_Latn,fra
Friulian,fur_Latn,fur
Nigerian Fulfulde,fuv_Latn,fuv
Scottish Gaelic,gla_Latn,gla
Irish,gle_Latn,gle
Galician,glg_Latn,glg
Guarani,grn_Latn,grn
Gujarati,guj_Gujr,guj
Haitian Creole,hat_Latn,hat
Hausa,hau_Latn,hau
Hebrew,heb_Hebr,heb
Hindi,hin_Deva,hin
Chhattisgarhi,hne_Deva,hne
Croatian,hrv_Latn,hrv
Hungarian,hun_Latn,hun
Armenian,hye_Armn,hye
Igbo,ibo_Latn,ibo
Ilocano,ilo_Latn,ilo
Indonesian,ind_Latn,ind
Icelandic,isl_Latn,isl
Italian,ita_Latn,ita
Javanese,jav_Latn,jav
Japanese,jpn_Jpan,jpn
Kabyle,kab_Latn,kab
Jingpho,kac_Latn,kac
Kamba,kam_Latn,kam
Kannada,kan_Knda,kan
Kashmiri (Arabic script),kas_Arab,kas
Kashmiri (Devanagari script),kas_Deva,kas
Georgian,kat_Geor,kat
Central Kanuri (Arabic script),knc_Arab,knc
Central Kanuri (Latin script),knc_Latn,knc
Kazakh,kaz_Cyrl,kaz
Kabiyè,kbp_Latn,kbp
