source_lang,target_lang,train_dataset,dataset_size,test_dataset,m2m100_ft_spBLEU_mean,m2m100_ft_spBLEU_se,m2m100_ft_chrF2++_mean,m2m100_ft_chrF2++_se,m2m100_ft_BLEU_mean,m2m100_ft_BLEU_se,m2m100_ft_chrF2_mean,m2m100_ft_chrF2_se,m2m100_ft_TER_mean,m2m100_ft_TER_se,m2m100_ft_comet_score_mean,m2m100_ft_comet_score_se,m2m100_noft_spBLEU_mean,m2m100_noft_spBLEU_se,m2m100_noft_chrF2++_mean,m2m100_noft_chrF2++_se,m2m100_noft_BLEU_mean,m2m100_noft_BLEU_se,m2m100_noft_chrF2_mean,m2m100_noft_chrF2_se,m2m100_noft_TER_mean,m2m100_noft_TER_se,m2m100_noft_comet_score_mean,m2m100_noft_comet_score_se,small100_ft_spBLEU_mean,small100_ft_spBLEU_se,small100_ft_chrF2++_mean,small100_ft_chrF2++_se,small100_ft_BLEU_mean,small100_ft_BLEU_se,small100_ft_chrF2_mean,small100_ft_chrF2_se,small100_ft_TER_mean,small100_ft_TER_se,small100_ft_comet_score_mean,small100_ft_comet_score_se,small100_noft_spBLEU_mean,small100_noft_spBLEU_se,small100_noft_chrF2++_mean,small100_noft_chrF2++_se,small100_noft_BLEU_mean,small100_noft_BLEU_se,small100_noft_chrF2_mean,small100_noft_chrF2_se,small100_noft_TER_mean,small100_noft_TER_se,small100_noft_comet_score_mean,small100_noft_comet_score_se,nllb_ft_spBLEU_mean,nllb_ft_spBLEU_se,nllb_ft_chrF2++_mean,nllb_ft_chrF2++_se,nllb_ft_BLEU_mean,nllb_ft_BLEU_se,nllb_ft_chrF2_mean,nllb_ft_chrF2_se,nllb_ft_TER_mean,nllb_ft_TER_se,nllb_ft_comet_score_mean,nllb_ft_comet_score_se,nllb_noft_spBLEU_mean,nllb_noft_spBLEU_se,nllb_noft_chrF2++_mean,nllb_noft_chrF2++_se,nllb_noft_BLEU_mean,nllb_noft_BLEU_se,nllb_noft_chrF2_mean,nllb_noft_chrF2_se,nllb_noft_TER_mean,nllb_noft_TER_se,nllb_noft_comet_score_mean,nllb_noft_comet_score_se,trfm_spBLEU_mean,trfm_spBLEU_se,trfm_chrF2++_mean,trfm_chrF2++_se,trfm_BLEU_mean,trfm_BLEU_se,trfm_chrF2_mean,trfm_chrF2_se,trfm_TER_mean,trfm_TER_se,trfm_comet_score_mean,trfm_comet_score_se,genetic,geographic,syntactic,inventory,phonological,featural,dev_size,test_size,train_word_vocab_size,dev_word_vocab_size,test_word_vocab_size,avg_train_sentence_length,avg_dev_sentence_length,avg_test_sentence_length,train_dev_word_overlap,train_test_word_overlap,dev_test_word_overlap,ttr_train,ttr_dev,ttr_test,train_dev_ttr_distance,train_test_ttr_distance,dev_test_ttr_distance,train_dev_jsd,train_test_jsd,dev_test_jsd,train_dev_tf_idf,train_test_tf_idf,dev_test_tf_idf,train_dev_st_similarity,train_test_st_similarity,dev_test_st_similarity,eng_target
sin,eng,MT560_WikiMatrix,204491,government,10.4,0.6,33.3,0.7,7.6,0.5,36.0,0.7,89.3,1.9,0.6861,0.1516,16.2,0.6,42.5,0.7,13.1,0.6,45.4,0.7,76.4,1.4,0.7786,0.1169,14.1,0.6,39.3,0.6,10.8,0.6,42.2,0.6,78.1,1.3,0.7485,0.1301,17.4,0.6,44.1,0.6,14.0,0.7,46.9,0.6,74.7,1.4,0.7924,0.1052,25.6,0.8,50.2,0.7,19.4,0.8,53.4,0.7,66.8,1.0,0.8375,0.0916,27.8,0.8,52.5,0.7,21.6,0.9,55.6,0.7,65.5,1.4,0.8483,0.0852,2.6,0.2,20.4,0.4,2.0,0.2,22.1,0.4,104.4,1.7,0.5285,0.1204,0.9,0.4,0.78,0.4991,0.4121,0.6,997.0,1962.0,4237.0,36.0,41.0,88.71135649001667,102.60080240722166,108.79153924566768,0.0084249941493096,0.00958391771856,0.4675324675324675,0.0002335635379369,0.0003519302396058,0.000192083354806,0.1131216996156638,0.0466339138126889,0.6925145289038201,0.0644907914720809,0.0730742146085089,0.0692108311909154,0.0011334423761198,0.0028456649821677,0.0041265719785786,0.1204169988632202,0.3410356044769287,0.4338104128837585,1.0
sin,eng,MT560_WikiMatrix,204491,new_bible_g2,3.9,0.4,22.3,0.5,2.5,0.4,23.6,0.5,99.9,2.2,0.5249,0.121,12.0,0.7,33.4,0.6,9.2,0.6,34.5,0.6,79.4,1.2,0.6781,0.1141,7.9,0.5,28.2,0.6,5.8,0.5,29.2,0.6,87.2,2.2,0.6055,0.1225,11.4,0.6,33.2,0.6,8.6,0.6,34.3,0.6,79.8,1.6,0.6729,0.1126,27.2,1.0,47.5,0.9,21.6,1.0,48.4,0.9,61.3,1.3,0.7898,0.0902,28.6,1.0,49.0,0.8,22.5,1.0,49.9,0.8,60.6,1.3,0.7989,0.0803,1.1,0.2,16.5,0.4,0.6,0.2,17.8,0.4,106.1,2.0,0.4155,0.0715,0.9,0.4,0.78,0.4991,0.4121,0.6,997.0,1000.0,4237.0,36.0,27.0,88.71135649001667,102.60080240722166,105.711,0.0084249941493096,0.0063320825515947,0.4285714285714285,0.0002335635379369,0.0003519302396058,0.0002554133439282,0.1131216996156638,0.007318262855174,0.1427971448544472,0.0644907914720809,0.133210650027535,0.1034416442703221,0.0011334423761198,0.0243497290540904,0.042734611016131,0.1204169988632202,0.4650580883026123,0.598727822303772,1.0
sin,eng,MT560_WikiMatrix,204491,flores,18.0,0.8,41.8,0.8,13.0,0.8,43.9,0.8,76.9,1.7,0.7629,0.1185,23.5,0.9,48.4,0.8,18.5,0.9,50.4,0.8,67.0,1.3,0.8148,0.0853,20.5,0.9,45.5,0.7,15.8,0.8,47.6,0.7,68.8,1.3,0.7942,0.0956,21.9,0.9,47.4,0.7,17.1,0.8,49.5,0.7,67.8,1.3,0.8011,0.0911,37.4,1.1,58.5,0.8,29.0,1.1,60.6,0.8,53.2,1.1,0.8846,0.0471,39.0,1.1,60.0,0.8,30.6,1.1,62.0,0.8,51.3,1.2,0.8878,0.0457,4.2,0.4,23.7,0.5,2.7,0.3,25.5,0.5,100.2,1.7,0.5458,0.1073,0.9,0.4,0.78,0.4991,0.4121,0.6,997.0,1012.0,4237.0,36.0,39.0,88.71135649001667,102.60080240722166,106.64229249011858,0.0084249941493096,0.0091206735266604,0.48,0.0002335635379369,0.0003519302396058,0.0003613721020737,0.1131216996156638,0.1250865653167397,0.0006826625776725,0.0644907914720809,0.0650416049106745,0.0109810161095522,0.0011334423761198,0.0009518833021024,0.003912699935678,0.1204169988632202,0.1112216711044311,0.0265035033226013,1.0
sin,eng,MT560_WikiMatrix,204491,MT560_OPUS_OpenSubtitles_v2018,8.9,0.7,25.8,0.8,4.6,0.6,26.4,0.8,100.6,1.9,0.6792,0.1511,17.8,1.0,38.3,1.0,13.2,1.1,38.9,1.0,80.9,1.8,0.7816,0.1443,16.3,1.1,33.7,1.0,11.3,1.1,34.0,1.0,80.2,1.7,0.7549,0.1575,17.7,1.0,38.2,1.0,13.4,1.1,38.6,1.0,80.6,1.7,0.7772,0.1466,36.0,1.4,49.8,1.2,27.6,1.6,50.0,1.3,61.1,1.7,0.8353,0.1312,32.4,1.4,49.8,1.2,25.2,1.4,50.1,1.2,67.9,1.9,0.8181,0.1356,3.5,0.5,16.6,0.5,0.6,0.5,16.9,0.5,108.6,1.6,0.557,0.1348,0.9,0.4,0.78,0.4991,0.4121,0.6,997.0,2000.0,4237.0,36.0,36.0,88.71135649001667,102.60080240722166,21.0415,0.0084249941493096,0.0084249941493096,0.5,0.0002335635379369,0.0003519302396058,0.0008554523204144,0.1131216996156638,0.5284864161462262,0.3464538750730883,0.0644907914720809,0.1198434787379109,0.0834772183322873,0.0011334423761198,0.0165565496748147,0.0304117999872665,0.1204169988632202,0.3742952346801758,0.4435988664627075,1.0
sin,eng,MT560_WikiMatrix,204491,MT560_WikiMatrix,4.2,0.6,19.0,0.5,3.0,0.5,20.4,0.5,100.5,1.7,0.562,0.1513,3.4,0.4,19.5,0.4,2.4,0.3,21.1,0.4,99.2,1.1,0.576,0.1379,4.0,0.5,19.1,0.5,2.9,0.4,20.5,0.5,98.3,1.6,0.5699,0.1511,3.0,0.4,19.3,0.4,2.1,0.3,21.0,0.4,100.7,1.7,0.5698,0.1361,4.7,0.6,19.9,0.5,3.6,0.6,21.4,0.5,96.4,1.1,0.5982,0.1473,4.3,0.6,19.6,0.5,3.4,0.6,21.2,0.5,97.9,1.0,0.591,0.1385,3.1,0.4,16.6,0.4,2.4,0.4,17.6,0.4,100.6,1.4,0.4978,0.1514,0.9,0.4,0.78,0.4991,0.4121,0.6,997.0,2000.0,4237.0,36.0,1219.0,88.71135649001667,102.60080240722166,112.9055,0.0084249941493096,0.2118768328445748,0.0286852589641434,0.0002335635379369,0.0003519302396058,0.0053983198338433,0.1131216996156638,0.9153400063025756,0.8738649672171805,0.0644907914720809,0.0840904815886082,0.1286379140675001,0.0011334423761198,0.0017566360158712,0.0087628263194537,0.1204169988632202,0.0458772182464599,0.2139356732368469,1.0
sin,eng,MT560_WikiMatrix,204491,MT560_OPUS100,7.5,0.8,22.6,0.7,4.3,0.6,23.5,0.7,99.0,1.7,0.6313,0.1532,12.7,0.9,31.5,0.9,10.0,0.9,32.4,0.9,82.2,1.4,0.7312,0.1497,10.7,0.9,26.7,0.9,6.9,0.8,27.5,0.9,88.0,3.4,0.6896,0.1626,12.3,0.8,31.2,0.9,9.4,0.9,32.1,0.9,82.8,1.7,0.7277,0.1511,24.5,1.2,39.3,1.1,17.4,1.2,40.0,1.1,71.5,1.9,0.7853,0.1431,26.2,1.2,41.0,1.1,19.0,1.2,41.8,1.1,72.0,1.5,0.7834,0.1394,2.7,0.4,14.4,0.4,0.9,0.3,15.2,0.4,104.8,1.3,0.518,0.1183,0.9,0.4,0.78,0.4991,0.4121,0.6,997.0,1983.0,4237.0,36.0,55.0,88.71135649001667,102.60080240722166,28.91679273827534,0.0084249941493096,0.0128145386766076,0.3956043956043956,0.0002335635379369,0.0003519302396058,0.0009591573366816,0.1131216996156638,0.57227848474336,0.4007952635873244,0.0644907914720809,0.111229388575043,0.0755576916380321,0.0011334423761198,0.0143690880962374,0.0100369049402829,0.1204169988632202,0.3837240934371948,0.4622437953948974,1.0
eng,ceb,OPUS_bible,29084,OPUS_bible,26.5,0.8,52.9,0.6,21.1,0.9,55.2,0.6,61.2,1.1,0.6795,0.0644,4.0,0.5,23.4,0.8,3.7,0.5,25.0,0.7,89.5,1.8,0.5326,0.0834,25.6,0.8,52.0,0.6,20.7,0.9,54.1,0.6,61.6,1.1,0.6769,0.0658,2.4,0.4,17.3,0.7,2.1,0.5,19.0,0.7,91.1,1.0,0.4757,0.1078,35.0,0.9,58.9,0.6,28.6,1.0,60.7,0.6,53.2,1.2,0.7033,0.0665,31.0,0.9,55.8,0.7,25.8,1.0,57.7,0.7,54.7,1.0,0.6918,0.0672,19.6,0.7,45.6,0.6,14.9,0.7,47.6,0.5,70.6,1.4,0.6425,0.0681,1.0,0.6,0.8,0.5371,0.5687,0.7,1000.0,1000.0,35.0,25.0,24.0,130.60231062820205,118.202,137.816,0.4166666666666667,0.4067796610169492,0.4897959183673469,9.214631676691746e-06,0.00021150234344596537,0.00017414523712776456,0.9147630969517095,0.8969728638045849,0.04601752477527596,0.04911922894102054,0.05310309259864083,0.022927412583849376,0.002143191743649131,0.0020570186697526044,0.0006172458163216099,0.02014249563217163,0.017419934272766113,0.00493544340133667,0.0
eng,ceb,OPUS_bible,29084,flores,11.5,0.6,38.9,0.5,8.2,0.5,41.0,0.5,79.6,1.4,0.5897,0.0777,16.6,0.9,40.6,0.7,12.7,0.8,42.2,0.7,70.1,1.1,0.64,0.0901,8.1,0.5,34.0,0.6,5.7,0.4,35.8,0.7,98.6,4.5,0.5398,0.0933,16.3,1.0,38.1,1.0,12.8,0.8,39.7,1.0,70.6,1.2,0.6084,0.1224,30.8,0.9,56.5,0.6,23.7,0.9,58.7,0.6,55.5,1.0,0.7031,0.0785,33.6,1.0,56.9,0.7,25.7,1.0,59.1,0.7,51.9,1.0,0.7106,0.0771,3.8,0.3,28.4,0.4,2.8,0.3,30.1,0.4,99.6,2.0,0.5013,0.0598,1.0,0.6,0.8,0.5371,0.5687,0.7,1000.0,1012.0,35.0,25.0,38.0,130.60231062820205,118.202,128.37450592885375,0.4166666666666667,0.4794520547945205,0.3968253968253968,9.214631676691746e-06,0.00021150234344596537,0.0002924989416156718,0.9147630969517095,0.9379861905499087,0.07668050425402849,0.04911922894102004,0.09383589677694404,0.10353469800562419,0.002143191743649131,0.006625193302078937,0.0048005451632621154,0.02014249563217163,0.0665789246559143,0.0463709831237793,0.0
eng,ceb,OPUS_bible,29084,MT560_OPUS_Tatoeba,4.6,1.4,30.2,1.4,1.7,1.3,32.9,1.4,129.1,6.1,0.5985,0.1093,2.5,1.0,21.1,1.4,1.5,1.2,22.3,1.5,126.2,6.1,0.5516,0.0986,4.9,1.7,28.4,1.6,2.2,1.3,30.9,1.6,132.9,6.7,0.5788,0.1103,2.1,1.6,18.6,1.5,1.4,1.2,19.6,1.5,126.8,6.6,0.5467,0.117,11.0,2.2,36.9,1.9,5.9,2.1,39.8,1.9,106.8,5.0,0.6393,0.1193,14.2,2.6,40.6,2.0,8.7,2.7,43.4,2.1,96.2,5.2,0.6604,0.1202,2.7,1.1,24.1,1.3,0.6,0.7,26.2,1.4,150.0,7.3,0.5479,0.1024,1.0,0.6,0.8,0.5371,0.5687,0.7,1000.0,373.0,35.0,25.0,27.0,130.60231062820205,118.202,21.083109919571047,0.4166666666666667,0.43548387096774194,0.46153846153846156,9.214631676691746e-06,0.00021150234344596537,0.0034333672431332654,0.9147630969517095,0.9946395094406268,0.8805907765935932,0.04911922894102054,0.08413553659356722,0.07787794731271092,0.002143191743649131,0.013746840477880298,0.010954226648120477,0.02014249563217163,0.20652687549591064,0.2095232605934143,0.0
eng,ceb,OPUS_bible,29084,MT560_WikiMatrix,2.1,0.3,19.9,0.3,0.6,0.2,21.3,0.4,138.7,3.4,0.4786,0.08,5.2,0.6,22.7,0.6,3.1,0.6,24.0,0.6,122.1,2.0,0.4924,0.0958,1.2,0.2,17.4,0.3,0.3,0.1,18.5,0.3,186.1,6.6,0.4349,0.0763,6.3,0.7,23.4,0.7,4.1,0.7,24.8,0.7,116.4,1.9,0.501,0.1071,4.4,0.5,21.8,0.6,2.1,0.5,23.3,0.6,117.8,2.0,0.5011,0.0974,4.3,0.5,21.5,0.5,2.0,0.5,23.0,0.6,113.8,1.7,0.4992,0.0969,0.5,0.1,16.5,0.2,0.1,0.1,17.6,0.2,152.8,3.1,0.4249,0.0533,1.0,0.6,0.8,0.5371,0.5687,0.7,1000.0,2000.0,35.0,25.0,123.0,130.60231062820205,118.202,56.575,0.4166666666666667,0.22151898734177214,0.16891891891891891,9.214631676691746e-06,0.00021150234344596537,0.0010870525850640743,0.9147630969517095,0.9831184306750663,0.6487256026001507,0.04911922894102054,0.17488195908078705,0.1899364459122764,0.002143191743649131,0.03553771733426862,0.03608819787317852,0.02014249563217163,0.2942310571670532,0.2693300247192383,0.0
