source_lang,target_lang,train_dataset,dataset_size,test_dataset,genetic,geographic,syntactic,inventory,phonological,featural,dev_size,test_size,train_word_vocab_size,dev_word_vocab_size,test_word_vocab_size,avg_train_sentence_length,avg_dev_sentence_length,avg_test_sentence_length,train_dev_word_overlap,train_test_word_overlap,dev_test_word_overlap,ttr_train,ttr_dev,ttr_test,train_dev_ttr_distance,train_test_ttr_distance,dev_test_ttr_distance,train_dev_jsd,train_test_jsd,dev_test_jsd,train_dev_tf_idf,train_test_tf_idf,dev_test_tf_idf,train_dev_st_similarity,train_test_st_similarity,dev_test_st_similarity,trfm_spBLEU_mean,trfm_spBLEU_se,trfm_chrF2++_mean,trfm_chrF2++_se,trfm_BLEU_mean,trfm_BLEU_se,trfm_chrF2_mean,trfm_chrF2_se,trfm_TER_mean,trfm_TER_se,trfm_comet_score_mean,trfm_comet_score_se,nllb_ft_spBLEU_mean,nllb_ft_spBLEU_se,nllb_ft_chrF2++_mean,nllb_ft_chrF2++_se,nllb_ft_BLEU_mean,nllb_ft_BLEU_se,nllb_ft_chrF2_mean,nllb_ft_chrF2_se,nllb_ft_TER_mean,nllb_ft_TER_se,nllb_ft_comet_score_mean,nllb_ft_comet_score_se,nllb_noft_spBLEU_mean,nllb_noft_spBLEU_se,nllb_noft_chrF2++_mean,nllb_noft_chrF2++_se,nllb_noft_BLEU_mean,nllb_noft_BLEU_se,nllb_noft_chrF2_mean,nllb_noft_chrF2_se,nllb_noft_TER_mean,nllb_noft_TER_se,nllb_noft_comet_score_mean,nllb_noft_comet_score_se,small100_ft_spBLEU_mean,small100_ft_spBLEU_se,small100_ft_chrF2++_mean,small100_ft_chrF2++_se,small100_ft_BLEU_mean,small100_ft_BLEU_se,small100_ft_chrF2_mean,small100_ft_chrF2_se,small100_ft_TER_mean,small100_ft_TER_se,small100_ft_comet_score_mean,small100_ft_comet_score_se,small100_noft_spBLEU_mean,small100_noft_spBLEU_se,small100_noft_chrF2++_mean,small100_noft_chrF2++_se,small100_noft_BLEU_mean,small100_noft_BLEU_se,small100_noft_chrF2_mean,small100_noft_chrF2_se,small100_noft_TER_mean,small100_noft_TER_se,small100_noft_comet_score_mean,small100_noft_comet_score_se,m2m100_ft_spBLEU_mean,m2m100_ft_spBLEU_se,m2m100_ft_chrF2++_mean,m2m100_ft_chrF2++_se,m2m100_ft_BLEU_mean,m2m100_ft_BLEU_se,m2m100_ft_chrF2_mean,m2m100_ft_chrF2_se,m2m100_ft_TER_mean,m2m100_ft_TER_se,m2m100_ft_comet_score_mean,m2m100_ft_comet_score_se,m2m100_noft_spBLEU_mean,m2m100_noft_spBLEU_se,m2m100_noft_chrF2++_mean,m2m100_noft_chrF2++_se,m2m100_noft_BLEU_mean,m2m100_noft_BLEU_se,m2m100_noft_chrF2_mean,m2m100_noft_chrF2_se,m2m100_noft_TER_mean,m2m100_noft_TER_se,m2m100_noft_comet_score_mean,m2m100_noft_comet_score_se
bew,btk,nusa_kalimat_mt,1000,nusa_kalimat_mt,0.625,0.1,0.67,0.6461,0.6667,0.7,849,2000,36,36,36,113.145,119.9081272,119.0315,0.5,0.5,0.5,0.0003181757921,0.0003536276301,0.0001512204753,0.01005044128,1.21893153,1.791556559,0.0124980101,0.008614502911,0.01141339249,0.0003611592336,0.0001846678981,0.0002739094258,0.001898872247,0.0009849897969,0.001033042617,5.1,0.5,16.6,0.3,0.7,0.2,19.5,0.3,105.3,1.7,0.4645,0.0878,24.1,1,42.1,0.6,8.7,0.5,46.3,0.6,74.7,0.9,0.6893,0.1003,15.2,1,28,0.7,3.1,0.3,32.4,0.7,91.9,1.3,0.6115,0.1308,23.8,1,41.3,0.6,8.1,0.5,45.8,0.6,75.4,1.4,0.6841,0.1044,5.4,0.5,12.5,0.6,0.9,0.2,14.4,0.7,156.5,6.6,0.3603,0.1875,24.8,1,42.2,0.6,8.7,0.5,46.7,0.6,73.3,0.8,0.6914,0.0988,14.5,0.9,27.5,0.7,2.8,0.3,31.8,0.7,92,1.2,0.6156,0.1564
bew,btk,nusa_kalimat_mt,3000,nusa_kalimat_mt,0.625,0.1,0.67,0.6461,0.6667,0.7,849,2000,36,36,36,116.8843333,119.9081272,119.0315,0.5,0.5,0.5,0.0001026655982,0.0003536276301,0.0001512204753,0.5036439981,0.1030966422,1.791556559,0.009663494488,0.006234958813,0.01141339249,0.0001536563358,0.0001435967609,0.0002739094258,0.001064522602,0.0003892228213,0.001033042617,5.7,0.5,15,0.6,1.3,0.2,16.9,0.7,101,1,0.4583,0.1599,27.6,1,45.6,0.6,11.2,0.6,50,0.6,71,1.1,0.702,0.1007,15.2,1,28,0.7,3.1,0.3,32.4,0.7,91.9,1.3,0.6115,0.1308,24,1,41.6,0.8,9.9,0.6,45.7,0.8,77.6,1.5,0.6649,0.1399,5.4,0.5,12.5,0.6,0.9,0.2,14.4,0.7,156.5,6.6,0.3603,0.1875,26.2,1.1,41.9,0.9,10.9,0.6,46,1,72.5,1.1,0.6679,0.1682,14.5,0.9,27.5,0.7,2.8,0.3,31.8,0.7,92,1.2,0.6156,0.1564
bew,btk,nusa_kalimat_mt,6000,nusa_kalimat_mt,0.625,0.1,0.67,0.6461,0.6667,0.7,849,2000,36,36,36,117.58007,119.9081272,119.0315,0.5,0.5,0.5,5.10E-05,0.0003536276301,0.0001512204753,0.7322607919,0.4390495878,1.791556559,0.009095146368,0.00553550447,0.01141339249,0.0003178705615,0.02006095349,0.0002739094258,0.000902125402,0.0002729322429,0.001033042617,9.6,0.6,21.4,0.5,1.9,0.3,24.1,0.5,96.7,1.1,0.5436,0.1146,29,1,46.7,0.7,12.3,0.6,51.4,0.7,68.8,0.9,0.708,0.1009,15.2,1,28,0.7,3.1,0.3,32.4,0.7,91.9,1.3,0.6115,0.1308,25.6,1,41.1,0.9,10.8,0.6,45.4,1,72.2,1,0.6587,0.1755,5.4,0.5,12.5,0.6,0.9,0.2,14.4,0.7,156.5,6.6,0.3603,0.1875,26.6,1,44.3,0.6,10.5,0.6,48.9,0.7,72.4,1.1,0.6921,0.1021,14.5,0.9,27.5,0.7,2.8,0.3,31.8,0.7,92,1.2,0.6156,0.1564
bew,btk,nusa_kalimat_mt,6600,nusa_kalimat_mt,0.625,0.1,0.67,0.6461,0.6667,0.7,849,2000,36,36,36,118.0566667,119.9081272,119.0315,0.5,0.5,0.5,4.62E-05,0.0003536276301,0.0001512204753,0.7557629136,0.4822850732,1.791556559,0.008959972876,0.005389184708,0.01141339249,0.0001533729808,0.0001455319976,0.0002739094258,0.0008613221811,0.0002764010755,0.001033042617,9.9,0.6,24.3,0.4,1.8,0.3,27.5,0.4,97.3,1.1,0.5638,0.0903,28.9,1,46.6,0.7,12.3,0.6,51.3,0.7,68.8,0.9,0.7072,0.1017,15.2,1,28,0.7,3.1,0.3,32.4,0.7,91.9,1.3,0.6115,0.1308,26.9,0.9,44.3,0.7,10.5,0.6,49.1,0.7,71.3,1.2,0.6978,0.1042,5.4,0.5,12.5,0.6,0.9,0.2,14.4,0.7,156.5,6.6,0.3603,0.1875,27.8,1.1,45.5,0.8,11.6,0.6,50,0.8,70.4,1,0.6947,0.1206,14.5,0.9,27.5,0.7,2.8,0.3,31.8,0.7,92,1.2,0.6156,0.1564
bew,ind,nusa_kalimat_mt,1000,nusa_kalimat_mt,0.2222,0,0.62,0.669,0.5687,0.6,849,2000,36,36,36,112.847,119.7396938,118.917,0.5,0.5,0.5,0.0003190160128,0.0003541250652,0.0001513660789,0.009829351808,1.226731881,1.794333235,0.01205986711,0.008634902757,0.00955816898,0.0004619029892,0.0001438910679,0.0002041919676,0.005128746926,0.002922010732,0.002333991585,10.2,0.7,27,0.4,2.4,0.3,30.6,0.4,90.6,0.5,0.4821,0.1259,32.2,1.1,49.7,0.7,15.2,0.7,53.7,0.7,62.2,0.9,0.7549,0.1216,32.2,1.1,49.6,0.7,15.2,0.7,53.6,0.7,62.2,0.9,0.7546,0.1218,44.3,1.1,62.7,0.6,29.3,0.9,65.8,0.6,43.3,0.9,0.8396,0.0899,26.9,1.1,47.1,0.7,11.8,0.7,51.4,0.7,66.7,1.7,0.7267,0.1391,47.7,1.1,64.9,0.6,32.6,0.9,67.8,0.6,41,0.8,0.8584,0.0808,22.6,1.2,41.2,0.8,9,0.6,45.5,0.9,73,1.4,0.6894,0.1732
bew,ind,nusa_kalimat_mt,3000,nusa_kalimat_mt,0.2222,0,0.62,0.669,0.5687,0.6,849,2000,36,36,36,116.417,119.7396938,118.917,0.5,0.5,0.5,0.0001030777292,0.0003541250652,0.0001513660789,0.5025715493,0.1017718348,1.794333235,0.009511786126,0.006447008384,0.00955816898,0.0001765361591,0.000117604181,0.0002041919676,0.003091409323,0.001251767537,0.002333991585,21.3,0.9,43,0.5,10,0.6,46.6,0.5,73.4,0.7,0.6315,0.1512,49.6,1.1,66.6,0.7,34.7,1,69.7,0.7,40.1,0.9,0.8692,0.0766,32.2,1.1,49.6,0.7,15.2,0.7,53.6,0.7,62.2,0.9,0.7546,0.1218,50.4,1.1,67.9,0.6,36.6,1,70.8,0.6,37.5,0.8,0.8714,0.0752,26.9,1.1,47.1,0.7,11.8,0.7,51.4,0.7,66.7,1.7,0.7267,0.1391,50.7,1,66.8,0.7,35.7,1,69.7,0.6,38.8,0.8,0.8808,0.067,22.6,1.2,41.2,0.8,9,0.6,45.5,0.9,73,1.4,0.6894,0.1732
bew,ind,nusa_kalimat_mt,6000,nusa_kalimat_mt,0.2222,0,0.62,0.669,0.5687,0.6,849,2000,36,36,36,117.0586471,119.7396938,118.917,0.5,0.5,0.5,5.12E-05,0.0003541250652,0.0001513660789,0.7315507365,0.4375659825,1.794333235,0.008782952229,0.005591859597,0.00955816898,0.000350613012,0.007084115995,0.0002041919676,0.002279217983,0.000942784476,0.002333991585,31.7,1,52.6,0.6,18.4,0.8,56,0.6,60.2,0.8,0.7363,0.1389,52.6,1.1,69.1,0.7,38.3,1.1,72.1,0.7,37,0.8,0.8825,0.069,32.2,1.1,49.6,0.7,15.2,0.7,53.6,0.7,62.2,0.9,0.7546,0.1218,53,1.1,69.9,0.7,39.6,1,72.8,0.6,35.2,0.8,0.8821,0.071,26.9,1.1,47.1,0.7,11.8,0.7,51.4,0.7,66.7,1.7,0.7267,0.1391,51.4,1.1,68.1,0.6,36.9,1,71.1,0.6,37.5,0.8,0.8768,0.0713,22.6,1.2,41.2,0.8,9,0.6,45.5,0.9,73,1.4,0.6894,0.1732
bew,ind,nusa_kalimat_mt,6600,nusa_kalimat_mt,0.2222,0,0.62,0.669,0.5687,0.6,849,2000,36,36,36,117.4769697,119.7396938,118.917,0.5,0.5,0.5,4.64E-05,0.0003541250652,0.0001513660789,0.754962831,0.4806027137,1.794333235,0.00881756598,0.005362266068,0.00955816898,0.0001792767499,0.0001064810888,0.0002041919676,0.002177140846,0.0008997896911,0.002333991585,33.6,1,54.4,0.6,20.2,0.8,57.7,0.6,57.5,0.8,0.7559,0.1354,52.8,1.1,69.2,0.7,38.6,1.1,72.2,0.7,36.9,0.9,0.8834,0.0683,32.2,1.1,49.6,0.7,15.2,0.7,53.6,0.7,62.2,0.9,0.7546,0.1218,54,1.1,70.7,0.6,40.8,1,73.5,0.6,34.3,0.8,0.8864,0.0665,26.9,1.1,47.1,0.7,11.8,0.7,51.4,0.7,66.7,1.7,0.7267,0.1391,54.3,1.1,70.6,0.7,40.7,1.1,73.4,0.6,34.8,0.8,0.8865,0.0663,22.6,1.2,41.2,0.8,9,0.6,45.5,0.9,73,1.4,0.6894,0.1732
bew,jav,nusa_kalimat_mt,1000,nusa_kalimat_mt,0.5,0,0.86,0.611,0.7223,0.7,849,2000,36,36,36,113.15,120.360424,119.5955,0.5,0.5,0.5,0.0003181617322,0.0003522987493,0.0001505073351,0.009389207503,1.240836511,1.797587483,0.01420952803,0.01015646381,0.01259879788,0.0006739945147,0.0003167282136,0.0003134342949,0.00288852499,0.001999948142,0.001087309642,5.1,0.5,16,0.2,0.6,0.2,18.5,0.3,102,0.8,0.4449,0.1032,31.3,1,49.6,0.6,14.9,0.6,52.9,0.6,59.7,0.7,0.8208,0.0817,22.7,1.1,38.1,0.7,7.1,0.5,41.9,0.7,75.8,0.7,0.7626,0.1006,17.7,1,32.5,1.2,9.6,0.6,34.7,1.2,78.8,1.7,0.6195,0.2686,5.8,0.5,13.1,0.7,1.1,0.2,14.8,0.8,157.5,6.7,0.3517,0.1923,27.9,1.1,42.6,1.1,13.8,0.7,45.4,1.2,65.3,1.1,0.7241,0.2369,16.8,1,30.6,0.7,3.7,0.4,34.7,0.7,86.8,1.3,0.7017,0.1589
bew,jav,nusa_kalimat_mt,3000,nusa_kalimat_mt,0.5,0,0.86,0.611,0.7223,0.7,849,2000,36,36,36,116.5093333,120.360424,119.5955,0.5,0.5,0.5,0.0001029960404,0.0003522987493,0.0001505073351,0.5007624925,0.09965025152,1.797587483,0.01064162628,0.007654227707,0.01259879788,0.0002615438878,0.0002171784894,0.0003134342949,0.001590285931,0.001002703776,0.001087309642,8.6,0.6,22.6,0.6,2.8,0.3,24.8,0.7,94.4,1.3,0.5391,0.1753,34.6,1,52.8,0.6,18.1,0.7,56,0.6,55.7,0.7,0.8353,0.0775,22.7,1.1,38.1,0.7,7.1,0.5,41.9,0.7,75.8,0.7,0.7626,0.1006,27,1.2,46.7,0.7,13,0.6,49.9,0.8,67.3,1.9,0.7787,0.1331,5.8,0.5,13.1,0.7,1.1,0.2,14.8,0.8,157.5,6.7,0.3517,0.1923,29.8,1.1,47.8,0.6,13.6,0.7,51.2,0.6,64.2,1.8,0.7847,0.1094,16.8,1,30.6,0.7,3.7,0.4,34.7,0.7,86.8,1.3,0.7017,0.1589
